times,Temp,Units
2008-05-23 18:00:00,57.23,F
2008-05-23 18:30:00,57.11,F
2008-05-23 19:00:00,56.78,F
2008-05-23 19:30:00,56.36,F
2008-05-23 20:00:00,55.84,F
2008-05-23 20:30:00,55.77,F
2008-05-23 21:00:00,55.73,F
2008-05-23 21:30:00,55.66,F
2008-05-23 22:00:00,55.51,F
2008-05-23 22:30:00,55.35,F
2008-05-23 23:00:00,55.22,F
2008-05-23 23:30:00,55.14,F
2008-05-24 00:00:00,55.06,F
2008-05-24 00:30:00,55.01,F
2008-05-24 01:00:00,54.96,F
2008-05-24 01:30:00,54.95,F
2008-05-24 02:00:00,54.85,F
2008-05-24 02:30:00,54.74,F
2008-05-24 03:00:00,54.68,F
2008-05-24 03:30:00,54.63,F
2008-05-24 04:00:00,54.61,F
2008-05-24 04:30:00,54.59,F
2008-05-24 05:00:00,54.7,F
2008-05-24 05:30:00,54.88,F
2008-05-24 06:00:00,55.01,F
2008-05-24 06:30:00,55.22,F
2008-05-24 07:00:00,55.58,F
2008-05-24 07:30:00,55.81,F
2008-05-24 08:00:00,56.07,F
2008-05-24 08:30:00,56.49,F
2008-05-24 09:00:00,57.04,F
2008-05-24 09:30:00,57.43,F
2008-05-24 10:00:00,58.01,F
2008-05-24 10:30:00,58.81,F
2008-05-24 11:00:00,59.32,F
2008-05-24 11:30:00,59.74,F
2008-05-24 12:00:00,60.04,F
2008-05-24 12:30:00,60.1,F
2008-05-24 13:00:00,60.31,F
2008-05-24 13:30:00,60.39,F
2008-05-24 14:00:00,60.41,F
2008-05-24 14:30:00,60.54,F
2008-05-24 15:00:00,59.45,F
2008-05-24 15:30:00,59.81,F
2008-05-24 16:00:00,59.37,F
2008-05-24 16:30:00,58.8,F
2008-05-24 17:00:00,58.37,F
2008-05-24 17:30:00,57.86,F
2008-05-24 18:00:00,57.77,F
2008-05-24 18:30:00,57.79,F
2008-05-24 19:00:00,57.81,F
2008-05-24 19:30:00,57.91,F
2008-05-24 20:00:00,57.9,F
2008-05-24 20:30:00,57.95,F
2008-05-24 21:00:00,58.0,F
2008-05-24 21:30:00,57.91,F
2008-05-24 22:00:00,57.72,F
2008-05-24 22:30:00,57.57,F
2008-05-24 23:00:00,57.21,F
2008-05-24 23:30:00,56.87,F
2008-05-25 00:00:00,56.7,F
2008-05-25 00:30:00,56.61,F
2008-05-25 01:00:00,56.51,F
2008-05-25 01:30:00,56.37,F
2008-05-25 02:00:00,56.36,F
2008-05-25 02:30:00,56.08,F
2008-05-25 03:00:00,56.1,F
2008-05-25 03:30:00,56.16,F
2008-05-25 04:00:00,56.03,F
2008-05-25 04:30:00,55.99,F
2008-05-25 05:00:00,56.04,F
2008-05-25 05:30:00,56.14,F
2008-05-25 06:00:00,56.28,F
2008-05-25 06:30:00,56.34,F
2008-05-25 07:00:00,56.63,F
2008-05-25 07:30:00,56.92,F
2008-05-25 08:00:00,57.2,F
2008-05-25 08:30:00,57.47,F
2008-05-25 09:00:00,58.39,F
2008-05-25 09:30:00,58.72,F
2008-05-25 10:00:00,59.18,F
2008-05-25 10:30:00,59.25,F
2008-05-25 11:00:00,59.06,F
2008-05-25 11:30:00,59.28,F
2008-05-25 12:00:00,59.27,F
2008-05-25 12:30:00,59.22,F
2008-05-25 13:00:00,59.35,F
2008-05-25 13:30:00,59.67,F
2008-05-25 14:00:00,58.28,F
2008-05-25 14:30:00,57.22,F
2008-05-25 15:00:00,56.83,F
2008-05-25 15:30:00,57.93,F
2008-05-25 16:00:00,56.95,F
2008-05-25 16:30:00,56.75,F
2008-05-25 17:00:00,57.27,F
2008-05-25 17:30:00,56.78,F
2008-05-25 18:00:00,56.66,F
2008-05-25 18:30:00,56.25,F
2008-05-25 19:00:00,56.33,F
2008-05-25 19:30:00,56.53,F
2008-05-25 20:00:00,56.4,F
2008-05-25 20:30:00,56.12,F
2008-05-25 21:00:00,56.21,F
2008-05-25 21:30:00,56.01,F
2008-05-25 22:00:00,55.81,F
2008-05-25 22:30:00,55.76,F
2008-05-25 23:00:00,55.79,F
2008-05-25 23:30:00,55.75,F
2008-05-26 00:00:00,55.72,F
2008-05-26 00:30:00,55.67,F
2008-05-26 01:00:00,55.66,F
2008-05-26 01:30:00,55.69,F
2008-05-26 02:00:00,55.66,F
2008-05-26 02:30:00,55.65,F
2008-05-26 03:00:00,55.67,F
2008-05-26 03:30:00,55.73,F
2008-05-26 04:00:00,55.66,F
2008-05-26 04:30:00,55.79,F
2008-05-26 05:00:00,55.84,F
2008-05-26 05:30:00,55.88,F
2008-05-26 06:00:00,55.96,F
2008-05-26 06:30:00,56.04,F
2008-05-26 07:00:00,56.33,F
2008-05-26 07:30:00,56.44,F
2008-05-26 08:00:00,56.59,F
2008-05-26 08:30:00,57.06,F
2008-05-26 09:00:00,57.22,F
2008-05-26 09:30:00,57.82,F
2008-05-26 10:00:00,58.05,F
2008-05-26 10:30:00,58.12,F
2008-05-26 11:00:00,58.42,F
2008-05-26 11:30:00,58.67,F
2008-05-26 12:00:00,59.07,F
2008-05-26 12:30:00,59.31,F
2008-05-26 13:00:00,59.69,F
2008-05-26 13:30:00,59.37,F
2008-05-26 14:00:00,59.23,F
2008-05-26 14:30:00,59.4,F
2008-05-26 15:00:00,59.55,F
2008-05-26 15:30:00,59.81,F
2008-05-26 16:00:00,59.6,F
2008-05-26 16:30:00,59.87,F
2008-05-26 17:00:00,59.78,F
2008-05-26 17:30:00,59.84,F
2008-05-26 18:00:00,59.54,F
2008-05-26 18:30:00,59.56,F
2008-05-26 19:00:00,59.36,F
2008-05-26 19:30:00,59.25,F
2008-05-26 20:00:00,59.49,F
2008-05-26 20:30:00,59.68,F
2008-05-26 21:00:00,59.91,F
2008-05-26 21:30:00,59.87,F
2008-05-26 22:00:00,59.9,F
2008-05-26 22:30:00,59.86,F
2008-05-26 23:00:00,59.88,F
2008-05-26 23:30:00,60.1,F
2008-05-27 00:00:00,60.0,F
2008-05-27 00:30:00,59.93,F
2008-05-27 01:00:00,59.89,F
2008-05-27 01:30:00,59.89,F
2008-05-27 02:00:00,59.69,F
2008-05-27 02:30:00,59.72,F
2008-05-27 03:00:00,59.59,F
2008-05-27 03:30:00,59.62,F
2008-05-27 04:00:00,59.61,F
2008-05-27 04:30:00,59.58,F
2008-05-27 05:00:00,59.65,F
2008-05-27 05:30:00,59.6,F
2008-05-27 06:00:00,59.65,F
2008-05-27 06:30:00,59.61,F
2008-05-27 07:00:00,59.61,F
2008-05-27 07:30:00,59.62,F
2008-05-27 08:00:00,59.61,F
2008-05-27 08:30:00,59.62,F
2008-05-27 09:00:00,59.58,F
2008-05-27 09:30:00,59.55,F
2008-05-27 10:00:00,59.59,F
2008-05-27 10:30:00,59.63,F
2008-05-27 11:00:00,59.68,F
2008-05-27 11:30:00,59.59,F
2008-05-27 12:00:00,59.14,F
2008-05-27 12:30:00,58.61,F
2008-05-27 13:00:00,58.54,F
2008-05-27 13:30:00,59.24,F
2008-05-27 14:00:00,59.91,F
2008-05-27 14:30:00,59.67,F
2008-05-27 15:00:00,59.6,F
2008-05-27 15:30:00,59.15,F
2008-05-27 16:00:00,58.92,F
2008-05-27 16:30:00,58.7,F
2008-05-27 17:00:00,58.55,F
2008-05-27 17:30:00,58.58,F
2008-05-27 18:00:00,59.3,F
2008-05-27 18:30:00,59.23,F
2008-05-27 19:00:00,58.75,F
2008-05-27 19:30:00,58.38,F
2008-05-27 20:00:00,58.31,F
2008-05-27 20:30:00,58.09,F
2008-05-27 21:00:00,57.99,F
2008-05-27 21:30:00,57.85,F
2008-05-27 22:00:00,57.66,F
2008-05-27 22:30:00,57.46,F
2008-05-27 23:00:00,57.43,F
2008-05-27 23:30:00,57.31,F
2008-05-28 00:00:00,57.11,F
2008-05-28 00:30:00,56.98,F
2008-05-28 01:00:00,56.96,F
2008-05-28 01:30:00,56.69,F
2008-05-28 02:00:00,57.06,F
2008-05-28 02:30:00,56.94,F
