times,Units,parameter,value
2008-05-20 15:30:00,NTU+,Turb+,43.53
2008-05-20 15:30:00,mg/L,Dissolved_Oxygen,10.0
2008-05-20 16:00:00,mg/L,Dissolved_Oxygen,10.01
2008-05-20 16:00:00,V,Bat,14.1
2008-05-20 16:00:00,NTU+,Turb+,42.13
2008-05-20 16:00:00,F,Water_Temperature,56.04
2008-05-20 16:00:00,ÂµS/cm,Sp Cond,288.0
2008-05-20 16:00:00,%,ODOSat,95.8
2008-05-20 16:30:00,%,ODOSat,95.7
2008-05-20 16:30:00,F,Water_Temperature,55.83
2008-05-20 16:30:00,NTU+,Turb+,41.67
2008-05-20 16:30:00,mg/L,Dissolved_Oxygen,10.03
2008-05-20 16:30:00,V,Bat,13.5
2008-05-20 16:30:00,ÂµS/cm,Sp Cond,288.0
2008-05-20 17:00:00,ÂµS/cm,Sp Cond,288.0
2008-05-20 17:00:00,%,ODOSat,95.4
2008-05-20 17:00:00,V,Bat,13.4
2008-05-20 17:00:00,F,Water_Temperature,55.57
2008-05-20 17:00:00,NTU+,Turb+,41.87
2008-05-20 17:00:00,mg/L,Dissolved_Oxygen,10.02
2008-05-20 17:30:00,%,ODOSat,95.1
2008-05-20 17:30:00,ÂµS/cm,Sp Cond,288.0
2008-05-20 17:30:00,NTU+,Turb+,38.3
2008-05-20 17:30:00,V,Bat,13.2
2008-05-20 17:30:00,F,Water_Temperature,55.39
2008-05-20 17:30:00,mg/L,Dissolved_Oxygen,10.02
2008-05-20 18:00:00,ÂµS/cm,Sp Cond,288.0
2008-05-20 18:00:00,%,ODOSat,94.8
2008-05-20 18:00:00,F,Water_Temperature,55.28
2008-05-20 18:00:00,mg/L,Dissolved_Oxygen,10.0
2008-05-20 18:00:00,NTU+,Turb+,39.7
2008-05-20 18:00:00,V,Bat,13.2
2008-05-20 18:30:00,%,ODOSat,94.5
2008-05-20 18:30:00,mg/L,Dissolved_Oxygen,9.99
2008-05-20 18:30:00,F,Water_Temperature,55.13
2008-05-20 18:30:00,ÂµS/cm,Sp Cond,289.0
2008-05-20 18:30:00,V,Bat,13.2
2008-05-20 18:30:00,NTU+,Turb+,39.23
2008-05-20 19:00:00,%,ODOSat,94.3
2008-05-20 19:00:00,V,Bat,13.2
2008-05-20 19:00:00,ÂµS/cm,Sp Cond,289.0
2008-05-20 19:00:00,NTU+,Turb+,38.03
2008-05-20 19:00:00,mg/L,Dissolved_Oxygen,9.98
2008-05-20 19:00:00,F,Water_Temperature,55.04
2008-05-20 19:30:00,F,Water_Temperature,54.91
2008-05-20 19:30:00,mg/L,Dissolved_Oxygen,9.96
2008-05-20 19:30:00,V,Bat,13.1
2008-05-20 19:30:00,%,ODOSat,94.0
2008-05-20 19:30:00,ÂµS/cm,Sp Cond,289.0
2008-05-20 19:30:00,NTU+,Turb+,41.3
2008-05-20 20:00:00,F,Water_Temperature,54.82
2008-05-20 20:00:00,NTU+,Turb+,47.97
2008-05-20 20:00:00,mg/L,Dissolved_Oxygen,9.94
2008-05-20 20:00:00,V,Bat,13.1
2008-05-20 20:00:00,%,ODOSat,93.7
2008-05-20 20:00:00,ÂµS/cm,Sp Cond,290.0
2008-05-20 20:30:00,mg/L,Dissolved_Oxygen,9.94
2008-05-20 20:30:00,V,Bat,13.1
2008-05-20 20:30:00,ÂµS/cm,Sp Cond,290.0
2008-05-20 20:30:00,%,ODOSat,93.5
2008-05-20 20:30:00,F,Water_Temperature,54.68
2008-05-20 20:30:00,NTU+,Turb+,47.43
2008-05-20 21:00:00,F,Water_Temperature,54.56
2008-05-20 21:00:00,ÂµS/cm,Sp Cond,290.0
2008-05-20 21:00:00,NTU+,Turb+,43.53
2008-05-20 21:00:00,V,Bat,13.1
2008-05-20 21:00:00,%,ODOSat,93.4
2008-05-20 21:00:00,mg/L,Dissolved_Oxygen,9.93
2008-05-20 21:30:00,%,ODOSat,93.3
2008-05-20 21:30:00,ÂµS/cm,Sp Cond,290.0
2008-05-20 21:30:00,V,Bat,13.1
2008-05-20 21:30:00,F,Water_Temperature,54.5
2008-05-20 21:30:00,NTU+,Turb+,39.2
2008-05-20 21:30:00,mg/L,Dissolved_Oxygen,9.94
2008-05-20 22:00:00,F,Water_Temperature,54.39
2008-05-20 22:00:00,V,Bat,13.1
2008-05-20 22:00:00,NTU+,Turb+,40.87
2008-05-20 22:00:00,ÂµS/cm,Sp Cond,290.0
2008-05-20 22:00:00,mg/L,Dissolved_Oxygen,9.94
2008-05-20 22:00:00,%,ODOSat,93.2
2008-05-20 22:30:00,ÂµS/cm,Sp Cond,292.0
2008-05-20 22:30:00,%,ODOSat,93.2
2008-05-20 22:30:00,mg/L,Dissolved_Oxygen,9.95
2008-05-20 22:30:00,V,Bat,13.1
2008-05-20 22:30:00,NTU+,Turb+,36.87
2008-05-20 22:30:00,F,Water_Temperature,54.22
2008-05-20 23:00:00,ÂµS/cm,Sp Cond,293.0
2008-05-20 23:00:00,F,Water_Temperature,54.18
2008-05-20 23:00:00,NTU+,Turb+,30.87
2008-05-20 23:00:00,V,Bat,13.1
2008-05-20 23:00:00,%,ODOSat,92.9
2008-05-20 23:00:00,mg/L,Dissolved_Oxygen,9.93
2008-05-20 23:30:00,F,Water_Temperature,54.19
2008-05-20 23:30:00,ÂµS/cm,Sp Cond,293.0
2008-05-20 23:30:00,mg/L,Dissolved_Oxygen,9.9
2008-05-20 23:30:00,NTU+,Turb+,23.8
2008-05-20 23:30:00,V,Bat,13.1
2008-05-20 23:30:00,%,ODOSat,92.6
2008-05-21 00:00:00,F,Water_Temperature,53.95
2008-05-21 00:00:00,V,Bat,13.1
2008-05-21 00:00:00,%,ODOSat,92.7
2008-05-21 00:00:00,mg/L,Dissolved_Oxygen,9.94
2008-05-21 00:00:00,NTU+,Turb+,34.87
2008-05-21 00:00:00,ÂµS/cm,Sp Cond,293.0
2008-05-21 00:30:00,ÂµS/cm,Sp Cond,292.0
2008-05-21 00:30:00,%,ODOSat,92.5
2008-05-21 00:30:00,NTU+,Turb+,32.67
2008-05-21 00:30:00,V,Bat,13.1
2008-05-21 00:30:00,mg/L,Dissolved_Oxygen,9.93
2008-05-21 00:30:00,F,Water_Temperature,53.9
2008-05-21 01:00:00,NTU+,Turb+,25.37
2008-05-21 01:00:00,mg/L,Dissolved_Oxygen,9.94
2008-05-21 01:00:00,ÂµS/cm,Sp Cond,293.0
2008-05-21 01:00:00,F,Water_Temperature,53.72
2008-05-21 01:00:00,V,Bat,13.1
2008-05-21 01:00:00,%,ODOSat,92.4
2008-05-21 01:30:00,mg/L,Dissolved_Oxygen,10.05
2008-05-21 01:30:00,%,ODOSat,93.1
2008-05-21 01:30:00,ÂµS/cm,Sp Cond,293.0
2008-05-21 01:30:00,F,Water_Temperature,53.36
2008-05-21 01:30:00,NTU+,Turb+,30.3
2008-05-21 01:30:00,V,Bat,13.1
2008-05-21 02:00:00,F,Water_Temperature,53.15
2008-05-21 02:00:00,mg/L,Dissolved_Oxygen,10.11
2008-05-21 02:00:00,ÂµS/cm,Sp Cond,293.0
2008-05-21 02:00:00,%,ODOSat,93.3
2008-05-21 02:00:00,V,Bat,13.1
2008-05-21 02:00:00,NTU+,Turb+,31.6
2008-05-21 02:30:00,%,ODOSat,92.9
2008-05-21 02:30:00,F,Water_Temperature,53.15
2008-05-21 02:30:00,NTU+,Turb+,33.5
2008-05-21 02:30:00,ÂµS/cm,Sp Cond,293.0
2008-05-21 02:30:00,V,Bat,13.0
2008-05-21 02:30:00,mg/L,Dissolved_Oxygen,10.06
2008-05-21 03:00:00,mg/L,Dissolved_Oxygen,10.06
2008-05-21 03:00:00,F,Water_Temperature,53.08
2008-05-21 03:00:00,NTU+,Turb+,32.8
2008-05-21 03:00:00,%,ODOSat,92.8
2008-05-21 03:00:00,ÂµS/cm,Sp Cond,293.0
2008-05-21 03:00:00,V,Bat,13.0
2008-05-21 03:30:00,NTU+,Turb+,30.9
2008-05-21 03:30:00,%,ODOSat,92.9
2008-05-21 03:30:00,V,Bat,13.1
2008-05-21 03:30:00,mg/L,Dissolved_Oxygen,10.06
2008-05-21 03:30:00,F,Water_Temperature,53.14
2008-05-21 03:30:00,ÂµS/cm,Sp Cond,293.0
2008-05-21 04:00:00,F,Water_Temperature,53.17
2008-05-21 04:00:00,ÂµS/cm,Sp Cond,293.0
2008-05-21 04:00:00,mg/L,Dissolved_Oxygen,10.06
2008-05-21 04:00:00,NTU+,Turb+,33.27
2008-05-21 04:00:00,%,ODOSat,92.9
2008-05-21 04:00:00,V,Bat,13.1
2008-05-21 04:30:00,V,Bat,13.1
2008-05-21 04:30:00,ÂµS/cm,Sp Cond,292.0
2008-05-21 04:30:00,F,Water_Temperature,53.32
2008-05-21 04:30:00,NTU+,Turb+,28.2
2008-05-21 04:30:00,mg/L,Dissolved_Oxygen,10.05
2008-05-21 04:30:00,%,ODOSat,93.0
2008-05-21 05:00:00,mg/L,Dissolved_Oxygen,10.06
2008-05-21 05:00:00,ÂµS/cm,Sp Cond,292.0
2008-05-21 05:00:00,NTU+,Turb+,26.77
2008-05-21 05:00:00,V,Bat,13.1
2008-05-21 05:00:00,F,Water_Temperature,53.28
2008-05-21 05:00:00,%,ODOSat,93.0
2008-05-21 05:30:00,%,ODOSat,93.6
2008-05-21 05:30:00,NTU+,Turb+,21.33
2008-05-21 05:30:00,mg/L,Dissolved_Oxygen,10.14
2008-05-21 05:30:00,V,Bat,13.1
2008-05-21 05:30:00,ÂµS/cm,Sp Cond,288.0
2008-05-21 05:30:00,F,Water_Temperature,53.19
2008-05-21 06:00:00,NTU+,Turb+,19.2
2008-05-21 06:00:00,F,Water_Temperature,53.13
2008-05-21 06:00:00,mg/L,Dissolved_Oxygen,10.18
2008-05-21 06:00:00,V,Bat,13.1
2008-05-21 06:00:00,ÂµS/cm,Sp Cond,287.0
2008-05-21 06:00:00,%,ODOSat,94.0
2008-05-21 06:30:00,V,Bat,13.2
2008-05-21 06:30:00,ÂµS/cm,Sp Cond,287.0
2008-05-21 06:30:00,mg/L,Dissolved_Oxygen,10.19
2008-05-21 06:30:00,F,Water_Temperature,53.1
2008-05-21 06:30:00,NTU+,Turb+,18.1
2008-05-21 06:30:00,%,ODOSat,94.0
2008-05-21 07:00:00,ÂµS/cm,Sp Cond,289.0
2008-05-21 07:00:00,%,ODOSat,93.6
2008-05-21 07:00:00,mg/L,Dissolved_Oxygen,10.14
2008-05-21 07:00:00,F,Water_Temperature,53.12
2008-05-21 07:00:00,NTU+,Turb+,20.67
2008-05-21 07:00:00,V,Bat,13.3
2008-05-21 07:30:00,V,Bat,13.5
2008-05-21 07:30:00,F,Water_Temperature,53.11
2008-05-21 07:30:00,mg/L,Dissolved_Oxygen,10.15
2008-05-21 07:30:00,ÂµS/cm,Sp Cond,290.0
2008-05-21 07:30:00,%,ODOSat,93.6
2008-05-21 07:30:00,NTU+,Turb+,21.37
2008-05-21 08:00:00,mg/L,Dissolved_Oxygen,10.16
2008-05-21 08:00:00,ÂµS/cm,Sp Cond,289.0
2008-05-21 08:00:00,V,Bat,14.4
2008-05-21 08:00:00,F,Water_Temperature,53.16
2008-05-21 08:00:00,NTU+,Turb+,21.13
2008-05-21 08:00:00,%,ODOSat,93.9
2008-05-21 08:30:00,V,Bat,14.6
2008-05-21 08:30:00,F,Water_Temperature,53.27
2008-05-21 08:30:00,ÂµS/cm,Sp Cond,290.0
2008-05-21 08:30:00,mg/L,Dissolved_Oxygen,10.15
2008-05-21 08:30:00,%,ODOSat,93.9
2008-05-21 08:30:00,NTU+,Turb+,21.63
2008-05-21 09:00:00,V,Bat,14.6
2008-05-21 09:00:00,mg/L,Dissolved_Oxygen,10.16
2008-05-21 09:00:00,F,Water_Temperature,53.4
2008-05-21 09:00:00,NTU+,Turb+,20.03
2008-05-21 09:00:00,ÂµS/cm,Sp Cond,290.0
2008-05-21 09:00:00,%,ODOSat,94.1
2008-05-21 09:30:00,ÂµS/cm,Sp Cond,290.0
2008-05-21 09:30:00,NTU+,Turb+,19.2
2008-05-21 09:30:00,F,Water_Temperature,53.4
2008-05-21 09:30:00,V,Bat,14.6
2008-05-21 09:30:00,mg/L,Dissolved_Oxygen,10.19
2008-05-21 09:30:00,%,ODOSat,94.3
2008-05-21 10:00:00,NTU+,Turb+,17.83
2008-05-21 10:00:00,F,Water_Temperature,53.4
2008-05-21 10:00:00,mg/L,Dissolved_Oxygen,10.2
2008-05-21 10:00:00,%,ODOSat,94.5
2008-05-21 10:00:00,V,Bat,14.5
2008-05-21 10:00:00,ÂµS/cm,Sp Cond,291.0
2008-05-21 10:30:00,NTU+,Turb+,21.6
2008-05-21 10:30:00,mg/L,Dissolved_Oxygen,10.18
2008-05-21 10:30:00,V,Bat,14.5
2008-05-21 10:30:00,ÂµS/cm,Sp Cond,291.0
2008-05-21 10:30:00,F,Water_Temperature,53.44
2008-05-21 10:30:00,%,ODOSat,94.3
2008-05-21 11:00:00,mg/L,Dissolved_Oxygen,10.18
2008-05-21 11:00:00,V,Bat,14.5
2008-05-21 11:00:00,ÂµS/cm,Sp Cond,291.0
2008-05-21 11:00:00,%,ODOSat,94.5
2008-05-21 11:00:00,F,Water_Temperature,53.56
2008-05-21 11:00:00,NTU+,Turb+,22.1
2008-05-21 11:30:00,V,Bat,14.6
2008-05-21 11:30:00,mg/L,Dissolved_Oxygen,10.25
2008-05-21 11:30:00,NTU+,Turb+,22.43
2008-05-21 11:30:00,%,ODOSat,95.2
2008-05-21 11:30:00,F,Water_Temperature,53.66
2008-05-21 11:30:00,ÂµS/cm,Sp Cond,291.0
2008-05-21 12:00:00,V,Bat,14.3
2008-05-21 12:00:00,ÂµS/cm,Sp Cond,291.0
2008-05-21 12:00:00,F,Water_Temperature,53.67
2008-05-21 12:00:00,%,ODOSat,95.4
2008-05-21 12:00:00,NTU+,Turb+,23.67
2008-05-21 12:00:00,mg/L,Dissolved_Oxygen,10.26
2008-05-21 12:30:00,mg/L,Dissolved_Oxygen,10.24
2008-05-21 12:30:00,NTU+,Turb+,24.8
2008-05-21 12:30:00,%,ODOSat,95.3
2008-05-21 12:30:00,V,Bat,14.5
2008-05-21 12:30:00,F,Water_Temperature,53.69
2008-05-21 12:30:00,ÂµS/cm,Sp Cond,291.0
2008-05-21 13:00:00,ÂµS/cm,Sp Cond,292.0
2008-05-21 13:00:00,F,Water_Temperature,53.82
2008-05-21 13:00:00,NTU+,Turb+,27.9
2008-05-21 13:00:00,V,Bat,14.5
2008-05-21 13:00:00,mg/L,Dissolved_Oxygen,10.27
2008-05-21 13:00:00,%,ODOSat,95.6
2008-05-21 13:30:00,F,Water_Temperature,53.94
2008-05-21 13:30:00,NTU+,Turb+,28.5
2008-05-21 13:30:00,ÂµS/cm,Sp Cond,292.0
2008-05-21 13:30:00,mg/L,Dissolved_Oxygen,10.28
2008-05-21 13:30:00,%,ODOSat,95.9
2008-05-21 13:30:00,V,Bat,14.5
2008-05-21 14:00:00,ÂµS/cm,Sp Cond,292.0
