location,parameter,Units,times,value_mean,value_std
beach6_buoy,Bat,V,5/20/2008,13.762037037037036,0.6215322628437107
beach6_buoy,Bat,V,5/21/2008,13.570833333333333,0.6458988424554699
beach6_buoy,Bat,V,5/22/2008,13.690277777777776,0.6640961515651931
beach6_buoy,Bat,V,5/23/2008,13.778472222222222,0.6661824436098939
beach6_buoy,Bat,V,5/24/2008,13.775694444444445,0.643335553
beach6_buoy,Bat,V,5/25/2008,13.784027777777778,0.6345157499898942
beach6_buoy,Bat,V,5/26/2008,13.699305555555556,0.5502061314650971
beach6_buoy,Bat,V,5/27/2008,13.638194444444444,0.5803298468610185
beach6_buoy,Bat,V,5/28/2008,13.792361111111111,0.6745192394225716
beach6_buoy,Bat,V,5/29/2008,13.781944444444443,0.6499760918440927
beach6_buoy,Bat,V,5/30/2008,13.636805555555556,0.5316219446156194
beach6_buoy,Bat,V,5/31/2008,13.631250000000001,0.5733558128351786
beach6_buoy,Bat,V,6/1/2008,13.746527777777779,0.6020841651134345
beach6_buoy,Bat,V,6/2/2008,13.757638888888888,0.5887737477414606
beach6_buoy,Bat,V,6/3/2008,13.472222222222221,0.4845074558223807
beach6_buoy,Bat,V,6/4/2008,13.622222222222222,0.5303969280839607
beach6_buoy,Bat,V,6/5/2008,13.639583333333333,0.49390958516886285
beach6_buoy,Bat,V,6/6/2008,13.689583333333333,0.49270464492723026
beach6_buoy,Bat,V,6/7/2008,13.693055555555555,0.5124536858183183
beach6_buoy,Bat,V,6/8/2008,13.698611111111111,0.5332295207823019
beach6_buoy,Bat,V,6/9/2008,13.711805555555555,0.5159683038698133
beach6_buoy,Bat,V,6/10/2008,13.61111111111111,0.5053713044882492
beach6_buoy,Bat,V,6/11/2008,13.70486111111111,0.5151318469438866
beach6_buoy,Bat,V,6/12/2008,13.68888888888889,0.5107393668542699
beach6_buoy,Bat,V,6/13/2008,13.641666666666667,0.4946567645199191
beach6_buoy,Bat,V,6/14/2008,13.57638888888889,0.48256107423329364
beach6_buoy,Bat,V,6/15/2008,13.70486111111111,0.5151318469438864
beach6_buoy,Bat,V,6/16/2008,13.677777777777777,0.5348608660914989
beach6_buoy,Bat,V,6/17/2008,13.1,0.028284271247461936
beach6_buoy,Bat,V,6/18/2008,,
beach6_buoy,Bat,V,6/19/2008,,
beach6_buoy,Bat,V,6/20/2008,,
beach6_buoy,Bat,V,6/21/2008,,
beach6_buoy,Bat,V,6/22/2008,,
beach6_buoy,Bat,V,6/23/2008,,
beach6_buoy,Bat,V,6/24/2008,,
beach6_buoy,Bat,V,6/25/2008,,
beach6_buoy,Bat,V,6/26/2008,,
beach6_buoy,Bat,V,6/27/2008,,
beach6_buoy,Bat,V,6/28/2008,,
beach6_buoy,Bat,V,6/29/2008,,
beach6_buoy,Bat,V,6/30/2008,,
beach6_buoy,Bat,V,7/1/2008,13.468539325842697,0.33628839950323686
beach6_buoy,Bat,V,7/2/2008,13.665277777777778,0.49151107727409316
beach6_buoy,Bat,V,7/3/2008,13.569444444444445,0.4632324519982444
beach6_buoy,Bat,V,7/4/2008,13.752083333333333,0.5368867456199489
beach6_buoy,Bat,V,7/5/2008,13.702777777777778,0.4964129293499471
beach6_buoy,Bat,V,7/6/2008,13.735416666666667,0.5084556007185854
beach6_buoy,Bat,V,7/7/2008,13.7,0.48241815132442173
beach6_buoy,Bat,V,7/8/2008,13.65486111111111,0.49920634369163813
beach6_buoy,Bat,V,7/9/2008,13.59236111111111,0.5123754989298899
beach6_buoy,Bat,V,7/10/2008,13.727777777777778,0.5364275046588001
beach6_buoy,Bat,V,7/11/2008,13.684722222222222,0.5242803185032352
beach6_buoy,Bat,V,7/12/2008,13.616666666666667,0.4829976327961792
beach6_buoy,Bat,V,7/13/2008,13.577777777777778,0.5025034452714864
beach6_buoy,Bat,V,7/14/2008,13.715277777777779,0.5392716461245753
beach6_buoy,Bat,V,7/15/2008,13.697222222222223,0.5086585187859227
beach6_buoy,Bat,V,7/16/2008,13.68888888888889,0.5057862550719776
beach6_buoy,Bat,V,7/17/2008,13.6875,0.49002283377652783
beach6_buoy,Bat,V,7/18/2008,13.688194444444443,0.48220016268350363
beach6_buoy,Bat,V,7/19/2008,13.647916666666667,0.4884639474639132
beach6_buoy,Bat,V,7/20/2008,13.665277777777778,0.4975913233740374
beach6_buoy,Bat,V,7/21/2008,13.694444444444445,0.4982174908819128
beach6_buoy,Bat,V,7/22/2008,13.603472222222223,0.4797162906372068
beach6_buoy,Bat,V,7/23/2008,13.589583333333334,0.5191061103918504
beach6_buoy,Bat,V,7/24/2008,13.71736111111111,0.5311723228096858
beach6_buoy,Bat,V,7/25/2008,13.7,0.5146796138328252
beach6_buoy,Bat,V,7/26/2008,13.65625,0.495676235
beach6_buoy,Bat,V,7/27/2008,13.690972222222221,0.5215513698484856
beach6_buoy,Bat,V,7/28/2008,13.690277777777778,0.526011439
beach6_buoy,Bat,V,7/29/2008,13.675,0.49578644173090797
beach6_buoy,Bat,V,7/30/2008,13.484027777777778,0.4157162820903557
beach6_buoy,Bat,V,7/31/2008,13.678472222222222,0.5042703230049925
beach6_buoy,Bat,V,8/1/2008,13.63888888888889,0.468909032
beach6_buoy,Bat,V,8/2/2008,13.67986111111111,0.5176033880185362
beach6_buoy,Bat,V,8/3/2008,13.690972222222221,0.5157536673421197
beach6_buoy,Bat,V,8/4/2008,13.590277777777779,0.4827542548250303
beach6_buoy,Bat,V,8/5/2008,13.570833333333333,0.4826898698849107
beach6_buoy,Bat,V,8/6/2008,13.691666666666666,0.5277608061721424
beach6_buoy,Bat,V,8/7/2008,13.585185185185185,0.559786822
beach6_buoy,Bat,V,8/8/2008,13.557142857142857,0.5131803165234242
beach6_buoy,Bat,V,8/9/2008,13.66875,0.54432466
beach6_buoy,Bat,V,8/10/2008,13.471527777777776,0.45736600612492323
beach6_buoy,Bat,V,8/11/2008,13.66875,0.5507107613415063
beach6_buoy,Bat,V,8/12/2008,13.669444444444444,0.5366664494924933
beach6_buoy,Bat,V,8/13/2008,13.622916666666667,0.5094517483688557
beach6_buoy,Bat,V,8/14/2008,13.64375,0.5127355334602121
beach6_buoy,Bat,V,8/15/2008,13.649305555555555,0.5323120867791357
beach6_buoy,Bat,V,8/16/2008,13.647916666666667,0.513995558
beach6_buoy,Bat,V,8/17/2008,13.676388888888889,0.538709428
beach6_buoy,Bat,V,8/18/2008,13.661805555555555,0.5118178937205665
beach6_buoy,Bat,V,8/19/2008,13.606944444444444,0.5295007250901732
beach6_buoy,Bat,V,8/20/2008,13.662500000000001,0.5568235335835295
beach6_buoy,Bat,V,8/21/2008,13.631944444444445,0.5014179583141876
beach6_buoy,Bat,V,8/22/2008,13.12972972972973,0.066101206
beach6_buoy,Bat,V,8/23/2008,,
beach6_buoy,Bat,V,8/24/2008,,
beach6_buoy,Bat,V,8/25/2008,,
beach6_buoy,Bat,V,8/26/2008,,
beach6_buoy,Bat,V,8/27/2008,,
beach6_buoy,Bat,V,8/28/2008,,
beach6_buoy,Bat,V,8/29/2008,,
beach6_buoy,Bat,V,8/30/2008,,
beach6_buoy,Bat,V,8/31/2008,,
beach6_buoy,Bat,V,9/1/2008,,
beach6_buoy,Bat,V,9/2/2008,,
beach6_buoy,Bat,V,9/3/2008,,
beach6_buoy,Bat,V,9/4/2008,,
beach6_buoy,Bat,V,9/5/2008,,
beach6_buoy,Bat,V,9/6/2008,,
beach6_buoy,Bat,V,9/7/2008,,
beach6_buoy,Bat,V,9/8/2008,,
beach6_buoy,Bat,V,9/9/2008,,
beach6_buoy,Bat,V,9/10/2008,,
beach6_buoy,Bat,V,9/11/2008,,
beach6_buoy,Bat,V,9/12/2008,,
beach6_buoy,Bat,V,9/13/2008,,
beach6_buoy,Bat,V,9/14/2008,,
beach6_buoy,Bat,V,9/15/2008,,
beach6_buoy,Bat,V,9/16/2008,,
beach6_buoy,Bat,V,9/17/2008,,
beach6_buoy,Bat,V,9/18/2008,,
beach6_buoy,Bat,V,9/19/2008,,
beach6_buoy,Bat,V,9/20/2008,,
beach6_buoy,Bat,V,9/21/2008,,
beach6_buoy,Bat,V,9/22/2008,,
beach6_buoy,Bat,V,9/23/2008,,
beach6_buoy,Bat,V,9/24/2008,,
beach6_buoy,Bat,V,9/25/2008,,
beach6_buoy,Bat,V,9/26/2008,,
beach6_buoy,Bat,V,9/27/2008,,
beach6_buoy,Bat,V,9/28/2008,,
beach6_buoy,Bat,V,9/29/2008,,
beach6_buoy,Bat,V,9/30/2008,,
beach6_buoy,Bat,V,10/1/2008,,
beach6_buoy,Bat,V,10/2/2008,,
beach6_buoy,Bat,V,10/3/2008,,
beach6_buoy,Bat,V,10/4/2008,,
