,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC
,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Date/Time,Temp,Sp Cond,pH,Turb+,ODOSat,ODO,Bat,ADCP Temp,Press,Bat,Level,Hs,Ts,Vel Mag
m/d/y,F,µS/cm,,NTU+,%,mg/L,V,F,psi,V,ft,ft,sec,ft/s
5/20/2011 14:15,49.91,259,8.25,5.8,99.3,11.22,12.1,9.14,3.02,11,41.825,0.159,4,
5/20/2011 14:45,50.07,259,8.25,6.5,99.4,11.21,11.9,8.99,3.02,10.8,41.737,0.181,3,
5/20/2011 15:15,49.97,259,8.26,6.2,99.5,11.23,11.8,8.92,3.02,10.6,41.735,0.197,3,
5/20/2011 15:45,50.07,259,8.27,6.2,99.7,11.23,11.7,8.88,3,10.6,41.659,0.179,3,
5/20/2011 16:15,50.26,259,8.26,7.7,99.6,11.2,11.7,8.87,3,10.6,41.699,0.186,3,
5/20/2011 16:45,50.03,259,8.27,6.9,99.7,11.24,11.6,8.87,2.97,10.4,41.615,0.202,3,
5/20/2011 17:15,49.99,259,8.27,7,99.7,11.25,11.5,8.89,3,10.4,41.706,0.208,3,
5/20/2011 17:45,49.95,260,8.27,7.6,99.6,11.25,11.5,8.91,2.98,10.4,41.661,0.216,3,
5/20/2011 18:15,50.29,260,8.25,7.7,99.1,11.14,11.5,8.94,2.99,10.4,41.702,0.173,3,
5/20/2011 18:45,50.05,260,8.26,8.3,99.2,11.18,11.4,8.98,2.96,10.4,41.602,0.199,3,
5/20/2011 19:15,50.1,260,8.24,7.8,98.6,11.1,11.5,9.01,2.98,10.4,41.597,0.206,3,
5/20/2011 19:45,50.11,260,8.24,8,98.7,11.11,11.5,9.04,2.99,10.4,41.635,0.182,3,
5/20/2011 20:15,50.14,260,8.23,7.8,98.2,11.06,11.5,9.07,2.95,10.4,41.494,0.187,3,
5/20/2011 20:45,50.13,260,8.21,7.4,97.6,10.99,11.5,9.1,2.96,10.4,41.607,0.156,3,
5/20/2011 21:15,50.17,262,8.23,6.4,98.2,11.06,11.5,9.12,2.95,10.4,41.605,0.18,3,
5/20/2011 21:45,50.13,262,8.18,5.7,96.7,10.89,11.5,9.15,2.96,10.4,41.558,0.153,3,
5/20/2011 22:15,50.14,262,8.19,5.7,97.1,10.93,11.5,9.18,2.96,10.4,41.563,0.135,3,
5/20/2011 22:45,50.17,262,8.18,5.9,96.7,10.88,11.5,9.19,2.97,10.4,41.635,0.147,3,
5/20/2011 23:15,50.09,263,8.17,5.3,96.3,10.85,11.5,9.2,2.99,10.4,41.649,0.135,3,
5/20/2011 23:45,50.08,264,8.15,4.9,95.9,10.8,11.5,9.22,3,10.4,41.683,0.108,3,
5/21/2011 0:15,49.99,265,8.17,5,96.3,10.87,11.5,9.22,2.99,10.4,41.714,0.123,3,
5/21/2011 0:45,49.97,264,8.15,4.7,95.9,10.82,11.5,9.23,2.98,10.4,41.643,0.119,3,
5/21/2011 1:15,49.94,265,8.16,5,96,10.84,11.4,9.23,3,10.4,41.704,0.117,3,
