,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC,4100-iSIC
,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Date/Time,WindDir,WindSp,Max WindSp,AirTemp,RH,BP,DailyRain,Rain Duration,RainInten,RainInten
m/d/y,Degree,mph,mph,F,%,inHg,in,sec,in/h,in/h
1/1/2011 0:00,213,3.7,5,55.9,64,29.3,0,6746,0,0
1/1/2011 0:20,186,4.6,5.2,56.3,63,29.3,0,6746,0,0
1/1/2011 0:40,215,6.1,7,56.4,63,29.3,0,6746,0,0
1/1/2011 1:00,144,5.6,6.4,57.2,61,29.2,0,6746,0,0
1/1/2011 1:20,167,7.9,8.4,56.4,62,29.2,0,6746,0,0
1/1/2011 1:40,90,1.8,3,55.5,63,29.2,0,6746,0,0
1/1/2011 2:00,130,4.9,5.7,54.6,64,29.2,0,6746,0,0
1/1/2011 2:20,153,5.3,5.6,54.3,65,29.2,0,6746,0,0
1/1/2011 2:40,143,3.9,4.4,54.6,64,29.2,0,6746,0,0
1/1/2011 3:00,102,2.9,3.4,54.8,64,29.2,0,6746,0,0
1/1/2011 3:20,149,7.2,9.3,55.5,65,29.2,0,6926,0,0
1/1/2011 3:40,196,4.4,7.1,54.8,72,29.2,0,7026,0,0
1/1/2011 4:00,227,9.3,12.2,53.7,78,29.2,0,7516,0.12,0.12
1/1/2011 4:20,156,5.3,5.8,51.9,83,29.2,0,8716,0.07,0.07
1/1/2011 4:40,161,7.8,8.1,52.8,85,29.2,0,9916,0.13,0.13
1/1/2011 5:00,204,5.7,6.4,52.5,85,29.2,0,11106,0.04,0.04
1/1/2011 5:20,139,2.9,4.3,52.1,87,29.2,0,11906,0,0
1/1/2011 5:40,166,4.2,5.2,52.1,88,29.2,0,12406,0.1,0.1
1/1/2011 6:00,163,2.4,3.4,52.3,88,29.2,0,13596,0.04,0.04
1/1/2011 6:20,195,3.6,4.5,52.8,88,29.2,0,14796,0.04,0.04
1/1/2011 6:40,163,6.4,8.2,54.1,87,29.2,0,15986,0.05,0.05
1/1/2011 7:00,191,6.1,7.5,54.6,86,29.2,0,17166,0.05,0.05
1/1/2011 7:20,238,4.8,5.7,54.6,87,29.2,0,18376,0.11,0.11
1/1/2011 7:40,232,1,1.7,55.4,87,29.2,0,19566,0.13,0.13
1/1/2011 8:00,216,6.3,6.8,55.5,86,29.2,0,20766,0.57,0.57
1/1/2011 8:20,214,5.3,6.7,56.1,85,29.2,0,21946,0.06,0.06
1/1/2011 8:40,270,6.5,8.1,56.4,84,29.2,0,23096,0,0
1/1/2011 9:00,210,5.6,6.2,56.6,84,29.1,0,23946,0.02,0.02
1/1/2011 9:20,192,6.3,8.1,56.3,85,29.1,0,24536,0,0
1/1/2011 9:40,179,5,6.3,56.1,85,29.1,0,24716,0.03,0.03
1/1/2011 10:00,202,5.9,6.4,56.3,85,29.1,0,25546,0.01,0.01
1/1/2011 10:20,219,3.6,4.4,57,83,29.1,0,25646,0,0
1/1/2011 10:40,187,4.5,6.3,57.3,80,29.1,0,25646,0,0
1/1/2011 11:00,211,7.2,8.3,57.5,79,29.1,0,25646,0,0
1/1/2011 11:20,210,8,9.6,57.7,78,29.1,0,25646,0,0
1/1/2011 11:40,234,9.5,11.7,57.9,78,29.1,0,25646,0,0
1/1/2011 12:00,221,10.6,12.6,58.2,77,29.1,0,25646,0,0
1/1/2011 12:20,267,20.9,23.8,43.8,75,29.1,0,25876,0.01,0.01
1/1/2011 12:40,252,18.2,20.1,38.6,89,29.2,0,25886,0,0
1/1/2011 13:00,238,12.9,13.9,39.7,91,29.2,0,25886,0,0
1/1/2011 13:20,245,15.8,17.7,39.7,91,29.2,0,25886,0,0
1/1/2011 13:40,244,15.4,17.1,40.6,81,29.2,0,25886,0,0
1/1/2011 14:00,240,10.1,11.9,40.4,78,29.2,0,25896,0,0
1/1/2011 14:20,228,4.9,5.4,39.7,82,29.2,0,25896,0,0
1/1/2011 14:40,253,13,13.5,39.3,81,29.2,0,25896,0,0
1/1/2011 15:00,233,7.7,8.8,40.8,76,29.2,0,25896,0,0
1/1/2011 15:20,264,13.8,15.6,41.9,73,29.2,0,25896,0,0
1/1/2011 15:40,266,10,11.8,39.3,79,29.2,0,25896,0,0
1/1/2011 16:00,249,10.8,11.8,38.4,78,29.2,0,25896,0,0
1/1/2011 16:20,244,10.2,10.8,39,73,29.2,0,25896,0,0
1/1/2011 16:40,240,9,9.7,38.6,73,29.2,0,25896,0,0
1/1/2011 17:00,248,16,17.1,38.8,72,29.3,0,25896,0,0
1/1/2011 17:20,251,22.5,24.2,38.4,73,29.3,0,25896,0,0
1/1/2011 17:40,257,21.4,23.5,37.4,75,29.3,0,25896,0,0
1/1/2011 18:00,254,21.7,24.7,37.5,73,29.3,0,25896,0,0
1/1/2011 18:20,253,20,20.6,36.8,75,29.3,0,25896,0,0
1/1/2011 18:40,255,18,19.9,36.5,77,29.3,0,25896,0,0
1/1/2011 19:00,251,23.8,25,36.3,78,29.3,0,25896,0,0
1/1/2011 19:20,255,30.1,32.6,35.6,74,29.3,0,25896,0,0
1/1/2011 19:40,256,26.1,28.6,35.4,70,29.3,0,25896,0,0
1/1/2011 20:00,263,27.7,30.8,34.8,66,29.3,0,25896,0,0
1/1/2011 20:20,255,26.2,27.6,34.5,66,29.3,0,25896,0,0
1/1/2011 20:40,272,22.4,25.9,33.6,69,29.3,0,25916,0.01,0.01
1/1/2011 21:00,272,23.7,24.9,33,69,29.3,0,25946,0,0
1/1/2011 21:20,266,24.2,27.3,32.5,67,29.4,0,25946,0,0
1/1/2011 21:40,257,28.6,30.1,32.3,69,29.4,0,25946,0,0
1/1/2011 22:00,261,27.2,29.6,32,70,29.4,0,25946,0,0
1/1/2011 22:20,265,28.4,30.8,31.7,68,29.4,0,25946,0,0
1/1/2011 22:40,265,19.3,23.8,31.3,72,29.4,0,25946,0,0
1/1/2011 23:00,252,30.5,34.2,31,68,29.4,0,25946,0,0
1/1/2011 23:20,255,25.9,27.8,30.6,72,29.4,0,25946,0,0
1/1/2011 23:40,273,24.2,26.2,30.2,69,29.4,0,25946,0,0
1/2/2011 0:00,265,22,24.3,30.2,69,29.4,0,25946,0,0
1/2/2011 0:20,276,24.9,26.7,29.9,69,29.4,0,25946,0,0
1/2/2011 0:40,258,25.3,28.2,29.9,67,29.4,0,25946,0,0
1/2/2011 1:00,250,30,31.8,29.5,65,29.4,0,25946,0,0
1/2/2011 1:20,240,20.6,23.2,29.2,64,29.4,0,25946,0,0
1/2/2011 1:40,265,21.7,23.1,28.8,69,29.4,0,25946,0,0
1/2/2011 2:00,252,18.3,19.4,28.8,66,29.4,0,25946,0,0
1/2/2011 2:20,252,24.8,25.7,28.4,67,29.4,0,25946,0,0
1/2/2011 2:40,253,19.9,21.1,28.8,70,29.4,0,25946,0,0
1/2/2011 3:00,260,16.1,17.2,28.4,69,29.4,0,25946,0,0
1/2/2011 3:20,250,21,21.9,28.4,67,29.4,0,25946,0,0
1/2/2011 3:40,256,19.7,21.2,28.4,65,29.4,0,25946,0,0
1/2/2011 4:00,266,27.2,27.9,28.6,66,29.4,0,25946,0,0
1/2/2011 4:20,260,21.2,23.1,28.4,68,29.4,0,25946,0,0
1/2/2011 4:40,253,24.6,25.1,28.1,69,29.4,0,25946,0,0
1/2/2011 5:00,252,23.9,24.8,28.3,64,29.4,0,25946,0,0
1/2/2011 5:20,237,14.6,16.1,28.3,66,29.4,0,25946,0,0
1/2/2011 5:40,249,20.5,22.1,28.1,63,29.4,0,25946,0,0
1/2/2011 6:00,240,21.9,24.8,27.9,65,29.4,0,25946,0,0
1/2/2011 6:20,247,23,25,27.7,64,29.4,0,25946,0,0
1/2/2011 6:40,233,15.6,17.3,27.5,62,29.4,0,25946,0,0
1/2/2011 7:00,253,20.5,22.8,27.4,64,29.5,0,25946,0,0
1/2/2011 7:20,257,23.5,24.6,27.9,65,29.5,0,25946,0,0
1/2/2011 7:40,246,21.6,22.2,27.2,66,29.5,0,25946,0,0
1/2/2011 8:00,257,19.8,20.4,27.5,63,29.5,0,25946,0,0
1/2/2011 8:20,272,22.8,23.9,26.8,73,29.5,0,25946,0,0
1/2/2011 8:40,265,21.5,24,26.3,73,29.4,0,25946,0,0
1/2/2011 9:00,271,28.1,30.3,26.3,73,29.4,0,25946,0,0
1/2/2011 9:20,271,26.1,28.1,25.9,73,29.4,0,25946,0,0
1/2/2011 9:40,266,25.5,29.4,26.1,74,29.4,0,25946,0,0
1/2/2011 10:00,277,27.6,30.4,25.9,72,29.4,0,25946,0,0
1/2/2011 10:20,271,25.1,27.6,26.1,72,29.4,0,25946,0,0
1/2/2011 10:40,271,24.1,26.6,25.9,70,29.4,0,25946,0,0
1/2/2011 11:00,271,25.3,26.7,26.3,71,29.4,0,25946,0,0
1/2/2011 11:20,279,22,23.5,25.9,72,29.4,0,25946,0,0
1/2/2011 11:40,270,26.1,29.9,25.9,72,29.4,0,25946,0,0
1/2/2011 12:00,275,21.7,24.5,25.7,72,29.4,0,25946,0,0
1/2/2011 12:20,269,24.8,26.1,25.9,71,29.5,0,25946,0,0
1/2/2011 12:40,275,24.4,27.1,25.7,69,29.5,0,25946,0,0
1/2/2011 13:00,273,26.7,28.7,25.7,72,29.5,0,25946,0,0
1/2/2011 13:20,274,26.2,27.8,25.6,73,29.5,0,25946,0,0
1/2/2011 13:40,274,27.6,29,25.9,72,29.5,0,25946,0,0
1/2/2011 14:00,270,25.9,27.7,25.7,72,29.5,0,25946,0,0
1/2/2011 14:20,257,28.5,32.3,25.9,69,29.5,0,25946,0,0
1/2/2011 14:40,267,22.9,25.4,25.6,73,29.5,0,25946,0,0
1/2/2011 15:00,259,24.1,25.4,25.6,71,29.5,0,25946,0,0
1/2/2011 15:20,263,25.2,27.2,25.7,72,29.5,0,25946,0,0
1/2/2011 15:40,256,23.8,25.8,25.7,67,29.5,0,25946,0,0
1/2/2011 16:00,264,21.4,25.2,25.6,71,29.5,0,25946,0,0
1/2/2011 16:20,260,16.8,18.3,25.6,72,29.5,0,25946,0,0
1/2/2011 16:40,259,25.5,27.2,26.1,71,29.5,0,25946,0,0
1/2/2011 17:00,256,21.6,25,26.1,70,29.5,0,25946,0,0
1/2/2011 17:20,282,18.5,21.2,26.3,70,29.5,0,25946,0,0
1/2/2011 17:40,262,18.2,19.6,26.6,67,29.5,0,25946,0,0
1/2/2011 18:00,270,17.5,20.7,26.6,69,29.5,0,25946,0,0
1/2/2011 18:20,277,22.5,24.4,26.5,67,29.5,0,25946,0,0
1/2/2011 18:40,274,19.1,22.9,26.8,67,29.5,0,25946,0,0
1/2/2011 19:00,286,23.8,25.2,27.2,62,29.5,0,25946,0,0
1/2/2011 19:20,258,24.2,27.1,27,70,29.5,0,25946,0,0
1/2/2011 19:40,256,20.3,20.9,26.8,71,29.5,0,25946,0,0
1/2/2011 20:00,262,23,26.5,26.8,67,29.5,0,25946,0,0
1/2/2011 20:20,259,16.9,18.7,27,68,29.5,0,25946,0,0
1/2/2011 20:40,240,14.3,15.4,27,70,29.5,0,25946,0,0
1/2/2011 21:00,238,6.4,7.2,25.6,71,29.5,0,25946,0,0
1/2/2011 21:20,207,7.7,8.2,24.8,72,29.5,0,25946,0,0
1/2/2011 21:40,217,7.4,8.2,24.5,74,29.5,0,25946,0,0
1/2/2011 22:00,234,9.5,10.5,24.8,75,29.5,0,25946,0,0
1/2/2011 22:20,215,8.4,9.1,25,74,29.5,0,25946,0,0
