times,Units,value_mean,value_std,parameter,location
2016-05-03,F,48.98888888888889,9.540654571961094,Air_Temperature,Walnut_Creek
2016-05-04,F,45.60694444444445,2.2658390364690457,Air_Temperature,Walnut_Creek
2016-05-05,F,46.579166666666666,1.0729823667334442,Air_Temperature,Walnut_Creek
2016-05-06,F,47.016666666666666,1.5715813523896154,Air_Temperature,Walnut_Creek
2016-05-07,F,49.96111111111112,2.303067381131189,Air_Temperature,Walnut_Creek
2016-05-08,F,47.63333333333333,1.683395153249093,Air_Temperature,Walnut_Creek
2016-05-09,F,47.93472222222222,1.386577171594453,Air_Temperature,Walnut_Creek
2016-05-10,F,49.213888888888896,0.9131478325863224,Air_Temperature,Walnut_Creek
2016-05-11,F,50.23333333333333,1.0840671147005423,Air_Temperature,Walnut_Creek
2016-05-12,F,52.37638888888888,1.792769197156216,Air_Temperature,Walnut_Creek
2016-05-13,F,54.39861111111112,4.316087226131777,Air_Temperature,Walnut_Creek
2016-05-14,F,51.57361111111111,3.83583525398264,Air_Temperature,Walnut_Creek
2016-05-15,F,43.204166666666666,1.2753476126863124,Air_Temperature,Walnut_Creek
2016-05-16,F,47.75972222222222,3.4492351683295825,Air_Temperature,Walnut_Creek
2016-05-17,F,51.638888888888886,2.051094048238127,Air_Temperature,Walnut_Creek
2016-05-18,F,49.99444444444444,1.331663906575363,Air_Temperature,Walnut_Creek
2016-05-19,F,51.1625,1.7030387737797927,Air_Temperature,Walnut_Creek
2016-05-20,F,53.02777777777778,1.7076642831846984,Air_Temperature,Walnut_Creek
2016-05-21,F,56.59583333333334,1.9875917933585543,Air_Temperature,Walnut_Creek
2016-05-22,F,54.44722222222222,2.2236121984409127,Air_Temperature,Walnut_Creek
2016-05-23,F,55.84722222222222,1.6540069990191235,Air_Temperature,Walnut_Creek
2016-05-24,F,59.13472222222222,1.7746755448012572,Air_Temperature,Walnut_Creek
2016-05-25,F,63.91666666666666,1.242416198635894,Air_Temperature,Walnut_Creek
2016-05-26,F,66.06666666666666,1.2489954804440402,Air_Temperature,Walnut_Creek
2016-05-27,F,65.94444444444444,1.470281840830694,Air_Temperature,Walnut_Creek
2016-05-28,F,69.18472222222222,2.753449334226313,Air_Temperature,Walnut_Creek
2016-05-29,F,69.22222222222223,1.500889806395406,Air_Temperature,Walnut_Creek
2016-05-30,F,67.38888888888889,3.109998480788291,Air_Temperature,Walnut_Creek
2016-05-31,F,66.84583333333333,2.008622245552998,Air_Temperature,Walnut_Creek
2016-06-01,F,64.27450095469537,2.3805003628381614,Air_Temperature,Walnut_Creek
2016-06-02,F,65.08333333333333,2.2134100131000314,Air_Temperature,Walnut_Creek
2016-06-03,F,65.90694444444445,1.3775493957013538,Air_Temperature,Walnut_Creek
2016-06-04,F,65.60833333333333,1.401088555543745,Air_Temperature,Walnut_Creek
2016-06-05,F,67.1986111111111,1.7714914007984286,Air_Temperature,Walnut_Creek
