,4100-iSIC,SDL500R,SDL500R,SDL500R,SDL500R,SDL500R,SDL500R,SDL500R
,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Date/Time,Bat,Temp,Sp Cond,pH,Turb+,ODOSat,ODO,Bat
m/d/y,V,F,µS/cm,,NTU+,%,mg/L,V
5/20/2011 13:50,,49.08,262,8.31,6.6,105.7,12.07,12.1
5/20/2011 14:00,,49.18,261,8.31,6.3,105.8,12.07,12.1
5/20/2011 14:10,12.1,49.1,261,8.31,6.1,105.8,12.08,12.1
5/20/2011 14:20,,49.21,261,8.31,6.3,106,12.08,12.1
5/20/2011 14:30,12.1,49.22,261,8.31,6,105.9,12.07,12.1
5/20/2011 14:40,,49.3,261,8.31,6.3,105.9,12.06,12.1
5/20/2011 14:50,,49.34,261,8.31,6,106,12.06,12.2
5/20/2011 15:00,11.9,49.41,261,8.31,5.5,106.1,12.06,12.1
5/20/2011 15:10,,49.4,261,8.32,6.2,106.1,12.06,12.2
5/20/2011 15:20,,49.42,261,8.31,5.7,106.1,12.06,12.2
5/20/2011 15:30,11.8,49.41,261,8.31,6.5,106.2,12.07,12.2
5/20/2011 15:40,,49.41,260,8.31,6.1,106.1,12.06,12.2
5/20/2011 15:50,,49.42,260,8.31,6.5,106.1,12.06,12.2
5/20/2011 16:00,11.7,49.45,260,8.31,5.8,106.1,12.06,12.1
5/20/2011 16:10,,49.49,260,8.31,5.8,106.1,12.05,12.2
5/20/2011 16:20,,49.47,260,8.31,6.5,106.1,12.05,12.2
5/20/2011 16:30,11.7,49.48,260,8.31,6.1,106.1,12.05,12.2
5/20/2011 16:40,,49.45,260,8.31,6.4,106.1,12.06,12.2
5/20/2011 16:50,,49.43,260,8.31,6.7,106,12.05,12.2
5/20/2011 17:00,11.6,49.42,260,8.31,6.3,106,12.05,12.1
5/20/2011 17:10,,49.42,260,8.31,6.6,106,12.05,12.2
5/20/2011 17:20,,49.42,259,8.31,6.7,105.9,12.04,12.2
5/20/2011 17:30,11.5,49.41,259,8.31,7.2,105.9,12.03,12.2
5/20/2011 17:40,,49.45,259,8.31,6.1,105.8,12.02,12.2
5/20/2011 17:50,,49.43,259,8.31,7,105.9,12.03,12.2
5/20/2011 18:00,11.5,49.48,259,8.31,6.9,105.8,12.02,12.1
5/20/2011 18:10,,49.47,259,8.31,7,105.8,12.02,12.2
5/20/2011 18:20,,49.46,259,8.31,7.8,105.8,12.02,12.2
5/20/2011 18:30,11.5,49.46,258,8.31,7.8,105.9,12.03,12.2
5/20/2011 18:40,,49.44,258,8.31,6.8,105.7,12.01,12.2
5/20/2011 18:50,,49.43,258,8.31,7.4,105.7,12.01,12.2
5/20/2011 19:00,11.4,49.4,258,8.31,7.9,105.8,12.03,12
5/20/2011 19:10,,49.42,258,8.31,7.5,105.6,12,12.2
5/20/2011 19:20,,49.42,258,8.3,7.2,105.6,12,12.2
5/20/2011 19:30,11.5,49.43,258,8.3,7.2,105.4,11.98,12.2
5/20/2011 19:40,,49.43,258,8.29,7.3,105.1,11.94,12.2
5/20/2011 19:50,,49.51,258,8.3,8,105.2,11.94,12.2
5/20/2011 20:00,11.5,49.6,258,8.3,7.6,105.6,11.97,12.1
5/20/2011 20:10,,49.57,258,8.3,7.9,105.5,11.96,12.1
5/20/2011 20:20,,49.56,258,8.3,8.8,105.5,11.96,12.2
5/20/2011 20:30,11.5,49.55,263,8.31,8.2,105.6,11.98,12.2
5/20/2011 20:40,,49.55,263,8.31,7.4,105.6,11.98,12.2
5/20/2011 20:50,,49.55,263,8.31,7.9,105.6,11.98,12.2
5/20/2011 21:00,11.5,49.54,263,8.31,8.2,105.6,11.99,12.1
5/20/2011 21:10,,49.53,262,8.31,8.7,105.6,11.99,12.2
5/20/2011 21:20,,49.59,263,8.3,7.8,105.5,11.96,12.1
5/20/2011 21:30,11.5,49.56,262,8.3,8.2,105.5,11.97,12.1
5/20/2011 21:40,,49.54,262,8.3,7.7,105.4,11.96,12.1
5/20/2011 21:50,,49.54,262,8.3,8.1,105.3,11.95,12.1
5/20/2011 22:00,11.5,49.56,262,8.3,7.9,105.3,11.95,12.1
5/20/2011 22:10,,49.54,262,8.28,7.2,104.8,11.89,12.1
5/20/2011 22:20,,49.57,262,8.27,7.5,104.3,11.83,12.1
5/20/2011 22:30,11.5,49.57,262,8.27,7.5,104.4,11.85,12.1
5/20/2011 22:40,,49.55,262,8.29,7.7,104.8,11.89,12.1
5/20/2011 22:50,,49.56,262,8.3,7.7,105,11.92,12.1
5/20/2011 23:00,11.5,49.56,262,8.29,7.3,104.9,11.9,12.1
5/20/2011 23:10,,49.56,262,8.29,7.7,104.9,11.9,12.1
5/20/2011 23:20,,49.56,262,8.29,7.4,104.9,11.9,12.1
5/20/2011 23:30,11.5,49.56,262,8.29,8.1,104.9,11.9,12.1
5/20/2011 23:40,,49.55,262,8.29,8,104.8,11.9,12.1
5/20/2011 23:50,,49.52,261,8.29,7.3,104.8,11.89,12.1
5/21/2011 0:00,11.5,49.54,261,8.28,7.6,104.7,11.88,12.1
5/21/2011 0:10,,49.54,261,8.27,6.3,104.2,11.83,12.1
5/21/2011 0:20,,49.55,261,8.27,7,104.3,11.83,12.1
5/21/2011 0:30,11.5,49.68,262,8.29,7,105.3,11.93,12.1
5/21/2011 0:40,,49.7,262,8.29,6.3,105.2,11.92,12.1
5/21/2011 0:50,,49.67,261,8.29,6.8,104.9,11.88,12.1
5/21/2011 1:00,11.5,49.63,261,8.28,6.8,104.8,11.88,12
5/21/2011 1:10,,49.64,261,8.28,6.8,104.9,11.89,12.1
5/21/2011 1:20,,49.61,261,8.28,6.9,104.8,11.89,12.1
5/21/2011 1:30,11.4,49.61,261,8.27,6.1,104.5,11.84,12.1
5/21/2011 1:40,,49.6,261,8.26,6,103.9,11.79,12.1
5/21/2011 1:50,,49.59,261,8.26,6.2,104.1,11.8,12.1
5/21/2011 2:00,11.5,49.62,261,8.27,6.5,104.3,11.83,12
5/21/2011 2:10,,49.61,261,8.27,6,104.3,11.83,12.1
5/21/2011 2:20,,49.72,262,8.28,6.4,104.8,11.86,12.1
5/21/2011 2:30,11.5,49.7,261,8.27,6,104.6,11.84,12.1
5/21/2011 2:40,,49.69,261,8.27,6.5,104.4,11.83,12.1
5/21/2011 2:50,,49.68,261,8.27,6.5,104.4,11.82,12.1
5/21/2011 3:00,11.5,49.69,261,8.27,6.9,104.4,11.83,12
5/21/2011 3:10,,49.67,261,8.27,6.2,104.4,11.82,12.1
5/21/2011 3:20,,49.7,261,8.26,5.8,104.4,11.82,12.1
5/21/2011 3:30,11.5,49.69,261,8.26,5.9,104.3,11.81,12.1
5/21/2011 3:40,,49.67,261,8.26,6.5,104.3,11.82,12.1
5/21/2011 3:50,,49.66,260,8.26,6.3,104.2,11.8,12.1
5/21/2011 4:00,11.5,49.65,261,8.25,6.3,104,11.79,12
5/21/2011 4:10,,49.68,261,8.26,6,104.1,11.79,12.1
5/21/2011 4:20,,49.67,261,8.25,6.5,104,11.78,12.1
5/21/2011 4:30,11.6,49.68,264,8.26,6,104.1,11.79,12.1
