times,Units,value_mean,value_std,parameter,location
2016-05-06 14:00:00,mg/L,11.679999999999998,0.0122643068756713,ODO,Surface_Data
2016-05-06 15:00:00,mg/L,11.75,0.0324483059955865,ODO,Surface_Data
2016-05-06 16:00:00,mg/L,11.8525,0.0238813065892093,ODO,Surface_Data
2016-05-06 17:00:00,mg/L,11.895,0.0111957292132757,ODO,Surface_Data
2016-05-06 18:00:00,mg/L,11.9025,0.0349586532637702,ODO,Surface_Data
2016-05-06 19:00:00,mg/L,11.92,0.039424230778191,ODO,Surface_Data
2016-05-06 20:00:00,mg/L,12.0575,0.0319617970994931,ODO,Surface_Data
2016-05-06 21:00:00,mg/L,12.175,0.0450619408414377,ODO,Surface_Data
2016-05-06 22:00:00,mg/L,12.325,0.043935214012263,ODO,Surface_Data
2016-05-06 23:00:00,mg/L,12.45,0.0424848052565378,ODO,Surface_Data
2016-05-07 00:00:00,mg/L,12.5,0.0187340382012988,ODO,Surface_Data
2016-05-07 01:00:00,mg/L,12.4325,0.0334937599549957,ODO,Surface_Data
2016-05-07 02:00:00,mg/L,12.3475,0.0216804363958357,ODO,Surface_Data
2016-05-07 03:00:00,mg/L,12.2875,0.0148105576221863,ODO,Surface_Data
2016-05-07 04:00:00,mg/L,12.235,0.0166059500106954,ODO,Surface_Data
2016-05-07 05:00:00,mg/L,12.179999999999998,0.0158331520940723,ODO,Surface_Data
2016-05-07 06:00:00,mg/L,12.145,0.0050068823157146,ODO,Surface_Data
2016-05-07 07:00:00,mg/L,12.0625,0.0396619669878418,ODO,Surface_Data
2016-05-07 08:00:00,mg/L,11.947500000000002,0.0192292964047122,ODO,Surface_Data
2016-05-07 09:00:00,mg/L,11.864999999999998,0.0180525709195235,ODO,Surface_Data
2016-05-07 10:00:00,mg/L,11.945000000000002,0.0439352140122599,ODO,Surface_Data
2016-05-07 11:00:00,mg/L,12.005,0.0229444172074959,ODO,Surface_Data
2016-05-07 12:00:00,mg/L,12.015,0.0218244940364038,ODO,Surface_Data
2016-05-07 13:00:00,mg/L,12.052499999999998,0.0249089250160385,ODO,Surface_Data
2016-05-07 14:00:00,mg/L,12.239999999999998,0.06717437527968,ODO,Surface_Data
2016-05-07 15:00:00,mg/L,12.4175,0.0512441624707432,ODO,Surface_Data
2016-05-07 16:00:00,mg/L,12.429999999999998,0.121822704574566,ODO,Surface_Data
2016-05-07 17:00:00,mg/L,12.315,0.0764267416023726,ODO,Surface_Data
2016-05-07 18:00:00,mg/L,12.382500000000002,0.0522134050740012,ODO,Surface_Data
2016-05-07 19:00:00,mg/L,12.36,0.0575246982529344,ODO,Surface_Data
2016-05-07 20:00:00,mg/L,12.4725,0.0258957966956347,ODO,Surface_Data
2016-05-07 21:00:00,mg/L,12.5875,0.0402890725431984,ODO,Surface_Data
2016-05-07 22:00:00,mg/L,12.73,0.0715125834156257,ODO,Surface_Data
2016-05-07 23:00:00,mg/L,12.927499999999998,0.0130082618375035,ODO,Surface_Data
2016-05-08 00:00:00,mg/L,12.947500000000002,0.0130082618375035,ODO,Surface_Data
2016-05-08 01:00:00,mg/L,12.93,0.0245286137513288,ODO,Surface_Data
2016-05-08 02:00:00,mg/L,12.8175,0.0415148750267282,ODO,Surface_Data
2016-05-08 03:00:00,mg/L,12.665,0.0415902881225409,ODO,Surface_Data
2016-05-08 04:00:00,mg/L,12.45,0.0583897798521663,ODO,Surface_Data
2016-05-08 05:00:00,mg/L,12.275,0.0403667757446905,ODO,Surface_Data
2016-05-08 06:00:00,mg/L,12.197500000000002,0.0286531937075413,ODO,Surface_Data
2016-05-08 07:00:00,mg/L,12.125,0.0111957292132829,ODO,Surface_Data
2016-05-08 08:00:00,mg/L,12.0825,0.0130082618375039,ODO,Surface_Data
2016-05-08 09:00:00,mg/L,12.0425,0.0148105576221759,ODO,Surface_Data
2016-05-08 10:00:00,mg/L,12.0,0.0,ODO,Surface_Data
2016-05-08 11:00:00,mg/L,12.0225,0.0130082618375072,ODO,Surface_Data
2016-05-08 12:00:00,mg/L,12.09,0.0100137646314326,ODO,Surface_Data
2016-05-08 13:00:00,mg/L,12.1525,0.0192292964047105,ODO,Surface_Data
2016-05-08 14:00:00,mg/L,12.11,0.0562021146039033,ODO,Surface_Data
2016-05-08 15:00:00,mg/L,11.6075,0.1757943404599237,ODO,Surface_Data
2016-05-08 16:00:00,mg/L,11.185,0.0461611741021695,ODO,Surface_Data
2016-05-08 17:00:00,mg/L,10.85,0.135093070662582,ODO,Surface_Data
2016-05-08 18:00:00,mg/L,10.885,0.0737559821545413,ODO,Surface_Data
2016-05-08 19:00:00,mg/L,11.2075,0.1263431965156185,ODO,Surface_Data
2016-05-08 20:00:00,mg/L,11.27,0.0485435251006843,ODO,Surface_Data
2016-05-08 21:00:00,mg/L,11.375,0.211062509508698,ODO,Surface_Data
2016-05-08 22:00:00,mg/L,12.09,0.137484284100604,ODO,Surface_Data
2016-05-08 23:00:00,mg/L,12.2975,0.0249089250160381,ODO,Surface_Data
2016-05-09 00:00:00,mg/L,12.135000000000002,0.0611167874482014,ODO,Surface_Data
2016-05-09 01:00:00,mg/L,12.1725,0.0676855677981257,ODO,Surface_Data
2016-05-09 02:00:00,mg/L,12.18,0.018734038201298,ODO,Surface_Data
