times,Units,value_mean,value_std,parameter,location
2016-07-08,mg/L,9.541805555555555,0.2413768352746029,Dissolved_Oxygen,Surface_Data
2016-07-09,mg/L,9.283055555555556,0.5341677559942772,Dissolved_Oxygen,Surface_Data
2016-07-10,mg/L,9.135555555555555,0.6992662012871421,Dissolved_Oxygen,Surface_Data
2016-07-11,mg/L,9.721525423728814,0.9590081067591196,Dissolved_Oxygen,Surface_Data
2016-07-12,mg/L,10.7225,0.4180927937728331,Dissolved_Oxygen,Surface_Data
2016-07-13,mg/L,10.206944444444444,0.5914302109559761,Dissolved_Oxygen,Surface_Data
2016-07-14,mg/L,9.720694444444444,0.833007118789235,Dissolved_Oxygen,Surface_Data
2016-07-15,mg/L,9.23861111111111,0.5089173037461814,Dissolved_Oxygen,Surface_Data
2016-07-16,mg/L,10.034583333333334,0.8852635594936994,Dissolved_Oxygen,Surface_Data
2016-07-17,mg/L,10.88763888888889,0.7695539174342879,Dissolved_Oxygen,Surface_Data
2016-07-18,mg/L,9.760277777777778,0.8214534570162545,Dissolved_Oxygen,Surface_Data
2016-07-19,mg/L,10.008333333333333,0.6652482048291473,Dissolved_Oxygen,Surface_Data
2016-07-20,mg/L,9.666527777777778,1.0196439579615717,Dissolved_Oxygen,Surface_Data
2016-07-21,mg/L,10.382222222222222,0.4321545319636672,Dissolved_Oxygen,Surface_Data
2016-07-22,mg/L,9.49,0.495335980652242,Dissolved_Oxygen,Surface_Data
2016-07-23,mg/L,9.350555555555555,0.50081594453923,Dissolved_Oxygen,Surface_Data
2016-07-24,mg/L,9.92,0.4887581214943378,Dissolved_Oxygen,Surface_Data
2016-07-25,mg/L,9.170277777777777,0.7137957925897972,Dissolved_Oxygen,Surface_Data
2016-07-26,mg/L,8.689722222222223,0.587939887496011,Dissolved_Oxygen,Surface_Data
2016-07-27,mg/L,8.535694444444445,0.548884606148326,Dissolved_Oxygen,Surface_Data
2016-07-28,mg/L,9.424583333333334,0.6502621108313875,Dissolved_Oxygen,Surface_Data
2016-07-29,mg/L,9.655972222222225,0.4391263200202449,Dissolved_Oxygen,Surface_Data
2016-07-30,mg/L,9.03263888888889,0.4421474612167426,Dissolved_Oxygen,Surface_Data
2016-07-31,mg/L,8.618472222222222,0.4434984334513355,Dissolved_Oxygen,Surface_Data
2016-08-01,mg/L,8.839119457156384,0.676870524432241,Dissolved_Oxygen,Surface_Data
2016-08-02,mg/L,9.552083333333334,0.5774341771034464,Dissolved_Oxygen,Surface_Data
2016-08-03,mg/L,9.181944444444444,0.6925213355760294,Dissolved_Oxygen,Surface_Data
2016-08-04,mg/L,8.900972222222222,0.503356941066827,Dissolved_Oxygen,Surface_Data
2016-08-05,mg/L,8.435,0.5764905391697125,Dissolved_Oxygen,Surface_Data
2016-08-06,mg/L,7.851111111111111,0.5616084941267073,Dissolved_Oxygen,Surface_Data
2016-08-07,mg/L,7.904722222222222,0.8524723236137448,Dissolved_Oxygen,Surface_Data
2016-08-08,mg/L,8.483333333333334,1.0357833284011946,Dissolved_Oxygen,Surface_Data
2016-08-09,mg/L,9.443194444444444,0.5128400493819837,Dissolved_Oxygen,Surface_Data
2016-08-10,mg/L,9.376666666666669,0.497597194164209,Dissolved_Oxygen,Surface_Data
2016-08-11,mg/L,9.116666666666664,1.2607243379714583,Dissolved_Oxygen,Surface_Data
2016-08-12,mg/L,8.379166666666666,0.7924792902116571,Dissolved_Oxygen,Surface_Data
2016-08-13,mg/L,8.534722222222221,0.4145370105162743,Dissolved_Oxygen,Surface_Data
2016-08-14,mg/L,8.044027777777778,0.931149115763472,Dissolved_Oxygen,Surface_Data
2016-08-15,mg/L,8.009027777777778,0.6369484783143886,Dissolved_Oxygen,Surface_Data
2016-08-16,mg/L,7.85513888888889,0.5329689708413418,Dissolved_Oxygen,Surface_Data
2016-08-17,mg/L,8.053194444444445,0.9414456753630236,Dissolved_Oxygen,Surface_Data
2016-08-18,mg/L,8.606805555555555,0.5961147747667868,Dissolved_Oxygen,Surface_Data
2016-08-19,mg/L,8.288194444444445,1.1994571348002634,Dissolved_Oxygen,Surface_Data
2016-08-20,mg/L,9.022083333333333,0.7537650300987864,Dissolved_Oxygen,Surface_Data
2016-08-21,mg/L,7.778888888888889,0.495186519079854,Dissolved_Oxygen,Surface_Data
2016-08-22,mg/L,8.176666666666668,0.8251812744807975,Dissolved_Oxygen,Surface_Data
2016-08-23,mg/L,8.096388888888889,0.6450860184778796,Dissolved_Oxygen,Surface_Data
2016-08-24,mg/L,8.656666666666666,0.3266499252081969,Dissolved_Oxygen,Surface_Data
2016-08-25,mg/L,8.213888888888889,0.4223798060009552,Dissolved_Oxygen,Surface_Data
2016-08-26,mg/L,8.116249999999999,0.4001754350877572,Dissolved_Oxygen,Surface_Data
2016-08-27,mg/L,8.325833333333334,0.6094529745409335,Dissolved_Oxygen,Surface_Data
2016-08-28,mg/L,8.771527777777777,0.377229465485935,Dissolved_Oxygen,Surface_Data
2016-08-29,mg/L,8.4025,0.4211519512736016,Dissolved_Oxygen,Surface_Data
2016-08-30,mg/L,8.581805555555556,0.3181940318441739,Dissolved_Oxygen,Surface_Data
2016-08-31,mg/L,7.809861111111111,0.6134938150088534,Dissolved_Oxygen,Surface_Data
2016-09-01,mg/L,7.158293695131684,0.2433820936033405,Dissolved_Oxygen,Surface_Data
2016-09-02,mg/L,7.663194444444445,0.3514095562447371,Dissolved_Oxygen,Surface_Data
2016-09-03,mg/L,8.008194444444445,0.7118216976167032,Dissolved_Oxygen,Surface_Data
2016-09-04,mg/L,8.347083333333332,1.0703287096135632,Dissolved_Oxygen,Surface_Data
2016-09-05,mg/L,8.089027777777778,1.696482115851004,Dissolved_Oxygen,Surface_Data
2016-09-06,mg/L,8.38875,0.3006388196893427,Dissolved_Oxygen,Surface_Data
2016-09-07,mg/L,8.209027777777777,0.3133280227031391,Dissolved_Oxygen,Surface_Data
2016-09-08,mg/L,7.901527777777778,0.2631837154480992,Dissolved_Oxygen,Surface_Data
2016-09-09,mg/L,7.466388888888889,1.3223724510726915,Dissolved_Oxygen,Surface_Data
2016-09-10,mg/L,8.599027777777778,0.4593693966320872,Dissolved_Oxygen,Surface_Data
2016-09-11,mg/L,7.612916666666666,0.571419292973697,Dissolved_Oxygen,Surface_Data
2016-09-12,mg/L,7.291944444444444,0.3138882554761472,Dissolved_Oxygen,Surface_Data
2016-09-13,mg/L,7.316527777777778,1.2430551113150077,Dissolved_Oxygen,Surface_Data
2016-09-14,mg/L,6.475972222222222,0.8002889545983392,Dissolved_Oxygen,Surface_Data
2016-09-15,mg/L,7.616527777777778,0.4243541135963206,Dissolved_Oxygen,Surface_Data
2016-09-16,mg/L,6.403055555555556,2.020431227878292,Dissolved_Oxygen,Surface_Data
2016-09-17,mg/L,8.059166666666668,0.5527087507147934,Dissolved_Oxygen,Surface_Data
2016-09-18,mg/L,6.488194444444445,0.5004962058261906,Dissolved_Oxygen,Surface_Data
2016-09-19,mg/L,5.617083333333334,1.4752980150447426,Dissolved_Oxygen,Surface_Data
2016-09-20,mg/L,6.933333333333334,0.6669073757789996,Dissolved_Oxygen,Surface_Data
2016-09-21,mg/L,6.388611111111112,1.2398483910054108,Dissolved_Oxygen,Surface_Data
2016-09-22,mg/L,6.142222222222221,1.7114569495302152,Dissolved_Oxygen,Surface_Data
2016-09-23,mg/L,7.478194444444445,1.0275875366527496,Dissolved_Oxygen,Surface_Data
2016-09-24,mg/L,6.98,0.3115578180532458,Dissolved_Oxygen,Surface_Data
2016-09-25,mg/L,7.284722222222222,0.4557804998783928,Dissolved_Oxygen,Surface_Data
2016-09-26,mg/L,7.388055555555555,0.538932409983112,Dissolved_Oxygen,Surface_Data
2016-09-27,mg/L,7.471666666666666,0.2901572302494085,Dissolved_Oxygen,Surface_Data
2016-09-28,mg/L,7.531666666666667,0.5082263397877939,Dissolved_Oxygen,Surface_Data
2016-09-29,mg/L,7.613333333333333,0.180499864768764,Dissolved_Oxygen,Surface_Data
2016-09-30,mg/L,7.4343055555555555,0.3789755216092835,Dissolved_Oxygen,Surface_Data
2016-10-01,mg/L,6.758525754884547,1.1247858423884196,Dissolved_Oxygen,Surface_Data
2016-10-02,mg/L,7.441944444444444,0.8219825646567712,Dissolved_Oxygen,Surface_Data
2016-10-03,mg/L,7.292361111111112,0.5727457381715765,Dissolved_Oxygen,Surface_Data
2016-10-04,mg/L,7.3694444444444445,0.9834168271563364,Dissolved_Oxygen,Surface_Data
2016-10-05,mg/L,8.793333333333333,0.4131280503423206,Dissolved_Oxygen,Surface_Data
2016-10-06,mg/L,8.285555555555556,0.5693679159897609,Dissolved_Oxygen,Surface_Data
2016-10-07,mg/L,7.978055555555556,1.0144107021656483,Dissolved_Oxygen,Surface_Data
2016-10-08,mg/L,7.832222222222223,0.5883199845075175,Dissolved_Oxygen,Surface_Data
2016-10-09,mg/L,7.64638888888889,0.1929339964433772,Dissolved_Oxygen,Surface_Data
2016-10-10,mg/L,7.699166666666667,0.5969167671273118,Dissolved_Oxygen,Surface_Data
2016-10-11,mg/L,8.281805555555556,0.7806474471520981,Dissolved_Oxygen,Surface_Data
2016-10-12,mg/L,8.83361111111111,0.7446877559821838,Dissolved_Oxygen,Surface_Data
2016-10-13,mg/L,8.005416666666667,0.7679865963747506,Dissolved_Oxygen,Surface_Data
2016-10-14,mg/L,7.367083333333333,1.1461357918112798,Dissolved_Oxygen,Surface_Data
2016-10-15,mg/L,8.143194444444443,1.388667369276082,Dissolved_Oxygen,Surface_Data
2016-10-16,mg/L,8.752777777777776,0.4821760262341489,Dissolved_Oxygen,Surface_Data
2016-10-17,mg/L,7.654166666666667,0.8738995479827489,Dissolved_Oxygen,Surface_Data
2016-10-18,mg/L,8.771805555555556,0.2585118295112088,Dissolved_Oxygen,Surface_Data
2016-10-19,mg/L,6.785972222222222,1.0538213874239724,Dissolved_Oxygen,Surface_Data
2016-10-20,mg/L,7.874027777777778,1.0277903423169534,Dissolved_Oxygen,Surface_Data
2016-10-21,mg/L,8.436527777777776,0.1271929888321215,Dissolved_Oxygen,Surface_Data
2016-10-22,mg/L,8.133333333333333,0.1509536796721277,Dissolved_Oxygen,Surface_Data
2016-10-23,mg/L,8.254999999999999,0.5680736505310856,Dissolved_Oxygen,Surface_Data
2016-10-24,mg/L,8.108472222222224,0.7652917206784686,Dissolved_Oxygen,Surface_Data
2016-10-25,mg/L,8.511666666666667,0.2652728745059126,Dissolved_Oxygen,Surface_Data
2016-10-26,mg/L,8.853055555555557,0.417418551667876,Dissolved_Oxygen,Surface_Data
2016-10-27,mg/L,9.330694444444443,0.5438099135531211,Dissolved_Oxygen,Surface_Data
2016-10-28,mg/L,8.787083333333333,0.4116946404590708,Dissolved_Oxygen,Surface_Data
2016-10-29,mg/L,9.846527777777776,0.3729955630698798,Dissolved_Oxygen,Surface_Data
2016-10-30,mg/L,8.533611111111112,0.8142990456846111,Dissolved_Oxygen,Surface_Data
2016-10-31,mg/L,9.251666666666669,0.340692710780292,Dissolved_Oxygen,Surface_Data
2016-11-01,mg/L,9.513873550073518,1.037422117568787,Dissolved_Oxygen,Surface_Data
2016-11-02,mg/L,9.249583333333334,0.5752122806027039,Dissolved_Oxygen,Surface_Data
2016-11-03,mg/L,8.450555555555555,1.1904997303488332,Dissolved_Oxygen,Surface_Data
2016-11-04,mg/L,10.401388888888889,1.0869833478803377,Dissolved_Oxygen,Surface_Data
2016-11-05,mg/L,11.899230769230767,0.0255704155978379,Dissolved_Oxygen,Surface_Data
2016-11-06,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-07,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-08,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-09,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-10,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-11,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-12,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-13,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-14,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-15,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-16,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-17,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-18,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-19,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-20,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-21,mg/L,,,Dissolved_Oxygen,Surface_Data
2016-11-22,mg/L,,,Dissolved_Oxygen,Surface_Data
