times,Units,value_mean,value_std,parameter,location
2014-05-06,F,48.21875,3.1698056041940323,Air_Temperature,Near_Shore_Buoy
2014-05-07,F,46.06944444444444,1.53593737876251,Air_Temperature,Near_Shore_Buoy
2014-05-08,F,48.62638888888889,2.393785238390802,Air_Temperature,Near_Shore_Buoy
2014-05-09,F,56.891666666666666,3.336544377425508,Air_Temperature,Near_Shore_Buoy
2014-05-10,F,52.73472222222222,2.960357197226425,Air_Temperature,Near_Shore_Buoy
2014-05-11,F,51.6125,2.202477750387289,Air_Temperature,Near_Shore_Buoy
2014-05-12,F,59.2625,2.31540822890084,Air_Temperature,Near_Shore_Buoy
2014-05-13,F,63.36111111111112,4.230450453542334,Air_Temperature,Near_Shore_Buoy
2014-05-14,F,56.99027777777778,2.895071926826008,Air_Temperature,Near_Shore_Buoy
2014-05-15,F,61.59444444444445,5.8669374327873465,Air_Temperature,Near_Shore_Buoy
2014-05-16,F,46.34166666666667,2.856701353054269,Air_Temperature,Near_Shore_Buoy
2014-05-17,F,45.80277777777778,1.2745100553377118,Air_Temperature,Near_Shore_Buoy
2014-05-18,F,49.28333333333333,2.4400513671852986,Air_Temperature,Near_Shore_Buoy
2014-05-19,F,54.12777777777777,0.740398874358327,Air_Temperature,Near_Shore_Buoy
2014-05-20,F,56.145833333333336,3.175067110367274,Air_Temperature,Near_Shore_Buoy
2014-05-21,F,58.87916666666667,2.268529360061218,Air_Temperature,Near_Shore_Buoy
2014-05-22,F,56.19027777777777,2.8490282021367106,Air_Temperature,Near_Shore_Buoy
2014-05-23,F,51.61527777777778,1.7129466480529876,Air_Temperature,Near_Shore_Buoy
2014-05-24,F,53.72361111111111,1.8870321364246403,Air_Temperature,Near_Shore_Buoy
2014-05-25,F,58.50972222222222,2.357189418711706,Air_Temperature,Near_Shore_Buoy
2014-05-26,F,62.48194444444445,0.9123727601943392,Air_Temperature,Near_Shore_Buoy
2014-05-27,F,63.19583333333334,1.5967556762788195,Air_Temperature,Near_Shore_Buoy
2014-05-28,F,59.31666666666667,2.243287480562556,Air_Temperature,Near_Shore_Buoy
2014-05-29,F,56.602777777777774,1.560016225570951,Air_Temperature,Near_Shore_Buoy
2014-05-30,F,57.516666666666666,2.756338785309045,Air_Temperature,Near_Shore_Buoy
2014-05-31,F,61.25416666666667,1.025432569237854,Air_Temperature,Near_Shore_Buoy
2014-06-01,F,60.67774032627747,3.135958991800841,Air_Temperature,Near_Shore_Buoy
2014-06-02,F,65.57638888888889,3.193632735060917,Air_Temperature,Near_Shore_Buoy
2014-06-03,F,65.8,2.187230765629721,Air_Temperature,Near_Shore_Buoy
2014-06-04,F,61.18333333333333,0.851852924664569,Air_Temperature,Near_Shore_Buoy
2014-06-05,F,59.27222222222222,1.5922950767048278,Air_Temperature,Near_Shore_Buoy
2014-06-06,F,59.34305555555555,1.6679309264281008,Air_Temperature,Near_Shore_Buoy
2014-06-07,F,62.71666666666667,2.665283412873251,Air_Temperature,Near_Shore_Buoy
2014-06-08,F,63.78333333333333,2.29834265538542,Air_Temperature,Near_Shore_Buoy
