times,Units,value_mean,value_std,parameter
2016-05-03,F,48.98888888888889,9.540654571961094,Air_Temperature
2016-05-04,F,45.606944444444444,2.2658390364690457,Air_Temperature
2016-05-05,F,46.579166666666666,1.0729823667334442,Air_Temperature
2016-05-06,F,47.016666666666666,1.5715813523896154,Air_Temperature
2016-05-07,F,49.961111111111116,2.303067381131189,Air_Temperature
2016-05-08,F,47.63333333333333,1.683395153249093,Air_Temperature
2016-05-09,F,47.93472222222222,1.386577171594453,Air_Temperature
2016-05-10,F,49.213888888888896,0.9131478325863223,Air_Temperature
2016-05-11,F,50.233333333333334,1.0840671147005423,Air_Temperature
2016-05-12,F,52.37638888888888,1.7927691971562159,Air_Temperature
2016-05-13,F,54.398611111111116,4.316087226131777,Air_Temperature
2016-05-14,F,51.573611111111106,3.8358352539826397,Air_Temperature
2016-05-15,F,43.204166666666666,1.2753476126863124,Air_Temperature
2016-05-16,F,47.75972222222222,3.4492351683295825,Air_Temperature
2016-05-17,F,51.638888888888886,2.051094048238127,Air_Temperature
2016-05-18,F,49.99444444444444,1.331663906575363,Air_Temperature
2016-05-19,F,51.1625,1.7030387737797927,Air_Temperature
2016-05-20,F,53.02777777777778,1.7076642831846984,Air_Temperature
2016-05-21,F,56.59583333333334,1.9875917933585545,Air_Temperature
2016-05-22,F,54.44722222222222,2.2236121984409127,Air_Temperature
2016-05-23,F,55.84722222222222,1.6540069990191237,Air_Temperature
2016-05-24,F,59.13472222222222,1.7746755448012572,Air_Temperature
2016-05-25,F,63.916666666666664,1.242416198635894,Air_Temperature
2016-05-26,F,66.06666666666666,1.2489954804440402,Air_Temperature
2016-05-27,F,65.94444444444444,1.4702818408306941,Air_Temperature
2016-05-28,F,69.18472222222222,2.753449334226313,Air_Temperature
2016-05-29,F,69.22222222222223,1.500889806395406,Air_Temperature
2016-05-30,F,67.38888888888889,3.109998480788291,Air_Temperature
2016-05-31,F,66.84583333333333,2.008622245552998,Air_Temperature
2016-06-01,F,64.27450095469537,2.3805003628381614,Air_Temperature
2016-06-02,F,65.08333333333333,2.2134100131000314,Air_Temperature
2016-06-03,F,65.90694444444445,1.3775493957013538,Air_Temperature
2016-06-04,F,65.60833333333333,1.4010885555437447,Air_Temperature
2016-06-05,F,67.1986111111111,1.7714914007984286,Air_Temperature
2016-06-06,F,64.99444444444444,1.3879534192144702,Air_Temperature
2016-06-07,F,62.2875,2.103152529973423,Air_Temperature
2016-06-08,F,56.55416666666667,2.774474352991075,Air_Temperature
2016-06-09,F,57.86388888888889,1.78810140405031,Air_Temperature
2016-06-10,F,61.540277777777774,2.47366597672275,Air_Temperature
2016-06-11,F,68.02638888888889,2.0345338078782813,Air_Temperature
2016-06-12,F,64.07916666666667,3.134311790666521,Air_Temperature
2016-06-13,F,59.516666666666666,1.9706476062940248,Air_Temperature
2016-06-14,F,60.90833333333333,1.524995765709384,Air_Temperature
2016-06-15,F,65.11944444444444,0.7214884749024225,Air_Temperature
2016-06-16,F,65.20833333333333,0.8270055524073385,Air_Temperature
2016-06-17,F,66.46944444444445,1.7793270920609139,Air_Temperature
2016-06-18,F,68.17916666666666,3.0882347639525314,Air_Temperature
2016-06-19,F,71.00138888888888,1.3543796776826147,Air_Temperature
2016-06-20,F,72.90972222222223,1.0453392167432651,Air_Temperature
2016-06-21,F,68.25138888888888,2.2076281307524757,Air_Temperature
2016-06-22,F,68.31944444444444,1.5734945465665728,Air_Temperature
2016-06-23,F,68.32916666666667,0.9309462275689834,Air_Temperature
2016-06-24,F,67.46666666666667,1.7928103989504052,Air_Temperature
2016-06-25,F,68.84722222222223,1.8449706163032535,Air_Temperature
2016-06-26,F,74.15555555555555,2.5524476682564807,Air_Temperature
2016-06-27,F,72.86805555555556,2.4654065070584004,Air_Temperature
2016-06-28,F,68.8638888888889,3.8073892224524246,Air_Temperature
2016-06-29,F,63.85,2.7701682733266484,Air_Temperature
2016-06-30,F,67.7388888888889,2.1713732434259416,Air_Temperature
2016-07-01,F,69.37122517138337,1.5573822409871498,Air_Temperature
2016-07-02,F,65.79722222222222,1.6385691193134173,Air_Temperature
2016-07-03,F,67.72916666666667,1.651612341055743,Air_Temperature
2016-07-04,F,68.66111111111111,2.4760764161187865,Air_Temperature
2016-07-05,F,71.38888888888889,1.4466321114698344,Air_Temperature
2016-07-06,F,73.77083333333333,0.47333899752326897,Air_Temperature
2016-07-07,F,73.16944444444444,0.8879029379938785,Air_Temperature
2016-07-08,F,73.50694444444444,1.2587835022259597,Air_Temperature
2016-07-09,F,71.66111111111111,1.2889064053616592,Air_Temperature
2016-07-10,F,69.33611111111111,2.027238586322906,Air_Temperature
2016-07-11,F,73.05833333333334,1.6344758614481627,Air_Temperature
2016-07-12,F,77.82361111111112,2.9799381671736307,Air_Temperature
2016-07-13,F,77.83888888888889,2.091273106728103,Air_Temperature
2016-07-14,F,75.27083333333333,2.396123681129588,Air_Temperature
2016-07-15,F,75.49027777777778,1.0390758531723008,Air_Temperature
2016-07-16,F,69.44444444444444,2.1088242863405737,Air_Temperature
2016-07-17,F,71.67777777777778,2.9769405992820106,Air_Temperature
2016-07-18,F,77.3875,1.785509205988615,Air_Temperature
2016-07-19,F,73.0125,1.471706146582465,Air_Temperature
2016-07-20,F,71.27638888888889,2.492902498605578,Air_Temperature
2016-07-21,F,73.93194444444445,3.7482854809702757,Air_Temperature
2016-07-22,F,77.52361111111111,2.0336823942904925,Air_Temperature
2016-07-23,F,77.24722222222222,1.189405499580322,Air_Temperature
2016-07-24,F,76.05833333333334,1.7456038882757687,Air_Temperature
2016-07-25,F,77.81527777777778,1.4182278399213961,Air_Temperature
2016-07-26,F,74.38888888888889,2.16066542519114,Air_Temperature
2016-07-27,F,75.67222222222222,1.9166338557295541,Air_Temperature
2016-07-28,F,76.25277777777778,1.5949209493672043,Air_Temperature
2016-07-29,F,75.59305555555555,1.1220174260460585,Air_Temperature
2016-07-30,F,74.725,2.3979962401966404,Air_Temperature
2016-07-31,F,74.2375,1.6995314391658758,Air_Temperature
2016-08-01,F,74.7407156845291,1.4214172687169961,Air_Temperature
2016-08-02,F,76.47361111111111,1.6927812354441203,Air_Temperature
2016-08-03,F,76.44166666666668,2.278527668214165,Air_Temperature
2016-08-04,F,77.28611111111111,1.9467019701032247,Air_Temperature
2016-08-05,F,78.61527777777778,2.109733587172916,Air_Temperature
2016-08-06,F,75.60555555555555,2.4022320678252678,Air_Temperature
2016-08-07,F,74.63888888888889,2.007080372986264,Air_Temperature
2016-08-08,F,74.70277777777777,2.1050740830718353,Air_Temperature
2016-08-09,F,76.20138888888889,2.3916033425167464,Air_Temperature
2016-08-10,F,77.68333333333332,2.2912493724066505,Air_Temperature
2016-08-11,F,79.54285714285714,2.0261295239640664,Air_Temperature
2016-08-12,F,79.91388888888889,0.788582445703508,Air_Temperature
2016-08-13,F,79.40138888888889,1.8595630987878644,Air_Temperature
2016-08-14,F,76.01666666666667,1.0971898046818649,Air_Temperature
2016-08-15,F,75.39027777777777,1.3284589031231266,Air_Temperature
2016-08-16,F,77.60416666666667,1.708256754649076,Air_Temperature
2016-08-17,F,74.90694444444445,1.844022335386655,Air_Temperature
2016-08-18,F,74.77916666666667,1.6200668664673563,Air_Temperature
2016-08-19,F,74.95972222222223,3.383086872719129,Air_Temperature
2016-08-20,F,78.1875,3.2056168008526336,Air_Temperature
2016-08-21,F,76.23472222222223,2.756004992798745,Air_Temperature
2016-08-22,F,70.04722222222223,1.6715564364251427,Air_Temperature
2016-08-23,F,71.10694444444444,3.4840552509097726,Air_Temperature
2016-08-24,F,74.9625,4.0140989835882355,Air_Temperature
2016-08-25,F,77.50972222222222,1.3759212354153922,Air_Temperature
2016-08-26,F,76.15,1.226214120195157,Air_Temperature
2016-08-27,F,75.2625,2.177886207958849,Air_Temperature
2016-08-28,F,77.66944444444444,1.0928307346265125,Air_Temperature
2016-08-29,F,75.07777777777777,1.6669169298598954,Air_Temperature
2016-08-30,F,73.47777777777777,2.2576099335472373,Air_Temperature
2016-08-31,F,74.50138888888888,2.0587354514958887,Air_Temperature
2016-09-01,F,71.66889089269613,1.8719238199500448,Air_Temperature
2016-09-02,F,69.53055555555557,1.493233513787595,Air_Temperature
2016-09-03,F,68.54861111111111,2.495664987900791,Air_Temperature
2016-09-04,F,70.39722222222223,2.8569735548720847,Air_Temperature
2016-09-05,F,72.91250000000001,2.9906216918752224,Air_Temperature
2016-09-06,F,74.80555555555556,1.8104647438296118,Air_Temperature
2016-09-07,F,77.23194444444445,0.3865529347545385,Air_Temperature
2016-09-08,F,77.97500000000001,1.1241750839347813,Air_Temperature
2016-09-09,F,75.64999999999999,0.8061261918136968,Air_Temperature
2016-09-10,F,77.16805555555555,3.32703630887273,Air_Temperature
2016-09-11,F,69.3138888888889,1.8382887505773424,Air_Temperature
2016-09-12,F,67.33749999999999,2.8919365009626508,Air_Temperature
2016-09-13,F,71.45138888888889,3.0787871080879925,Air_Temperature
2016-09-14,F,71.25416666666668,2.1092275019257816,Air_Temperature
2016-09-15,F,66.41388888888889,1.9429900347716018,Air_Temperature
2016-09-16,F,67.58611111111111,3.63520160389821,Air_Temperature
2016-09-17,F,71.58194444444445,2.1696379047484298,Air_Temperature
2016-09-18,F,72.3625,0.8878734575180116,Air_Temperature
2016-09-19,F,71.60277777777777,2.1739008047845463,Air_Temperature
2016-09-20,F,72.30555555555556,2.0091118831622845,Air_Temperature
2016-09-21,F,72.49305555555556,1.95190792551343,Air_Temperature
2016-09-22,F,72.55972222222223,2.7345787566656057,Air_Temperature
2016-09-23,F,72.95555555555555,2.5384856184093696,Air_Temperature
2016-09-24,F,63.97222222222222,1.2930699856435568,Air_Temperature
2016-09-25,F,62.56805555555555,2.4921465185759546,Air_Temperature
2016-09-26,F,64.93055555555556,1.4581208877671668,Air_Temperature
2016-09-27,F,64.97916666666667,3.7998286978204447,Air_Temperature
2016-09-28,F,66.65138888888889,3.2885751560545167,Air_Temperature
2016-09-29,F,66.34861111111111,1.5187248671175373,Air_Temperature
2016-09-30,F,64.48055555555555,2.3068192599598594,Air_Temperature
2016-10-01,F,63.612771788781295,1.7356869380516775,Air_Temperature
2016-10-02,F,63.538888888888884,1.0750085073557367,Air_Temperature
2016-10-03,F,62.955555555555556,1.6049907946030784,Air_Temperature
2016-10-04,F,63.298611111111114,2.3218790191508853,Air_Temperature
2016-10-05,F,65.73333333333333,3.3312201917070805,Air_Temperature
2016-10-06,F,65.09166666666667,2.914920428417058,Air_Temperature
2016-10-07,F,66.54861111111111,3.489349003677475,Air_Temperature
2016-10-08,F,63.661111111111104,4.33333042756817,Air_Temperature
2016-10-09,F,56.37222222222222,1.1881534433596814,Air_Temperature
2016-10-10,F,53.725,1.4153982551919848,Air_Temperature
2016-10-11,F,56.52222222222222,4.337869481571315,Air_Temperature
